confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,7515,{},,m Ainu (Japan) (SPA),7515,7515
,,,,7513,{},,k Ainu (Japan) (SPA),7513,7513
,,,,7511,{},,i Ainu (Japan) (SPA),7511,7511
,,,,7510,{},,a Ainu (Japan) (SPA),7510,7510
,,,,7514,{},,j Ainu (Japan) (SPA),7514,7514
,,,,7517,{},,p Ainu (Japan) (SPA),7517,7517
,,,,7523,{},,u Ainu (Japan) (SPA),7523,7523
,,,,7522,{},,w Ainu (Japan) (SPA),7522,7522
,,,,7516,{},,n Ainu (Japan) (SPA),7516,7516
,,,,7518,{},,s Ainu (Japan) (SPA),7518,7518
,,,,7521,{},,t Ainu (Japan) (SPA),7521,7521
,,,,7512,{},,h Ainu (Japan) (SPA),7512,7512
,,,,7520,{},,t̠ʃ Ainu (Japan) (SPA),7520,7520
,,,,7526,{},,ʔ Ainu (Japan) (SPA),7526,7526
,,,,7524,{},,ɛ Ainu (Japan) (SPA),7524,7524
,,,,7525,{},,ɔ Ainu (Japan) (SPA),7525,7525
,,,,7519,{},,r Ainu (Japan) (SPA),7519,7519
