Orthography,IPA,FID,Combined class:,Segment class:,advanced tongue root,anterior,approximant,back,click,consonantal,constricted glottis,continuant,coronal,delayed release,distributed,dorsal,epilaryngeal source,fortis,front,high,labial,labiodental,lateral,long,low,lowered larynx implosive,nasal,periodic glottal source,raised larynx ejective,retracted tongue root,round,short,sonorant,spread glottis,stress,strident,syllabic,tap,tense,tone,trill
a,a,72FB536ACFF408163656BBCDAFCAC6F6,v,vowel,-,,+,-,,-,-,+,-,,,+,-,,-,-,-,,-,-,+,-,-,+,-,-,,-,+,-,-,,+,-,,,-
b,b,694212B746622E482E0E58D50036100E,c,consonant,,,-,,-,+,-,-,-,-,,-,-,-,,,+,-,-,-,,-,-,+,-,,-,-,-,-,-,,-,-,,,-
q,cç,8AD5C612764E127E084477DD1C52B817,c-c,consonant,,-,-,-,-,+,-,-,+,+,+,+,-,-,+,+,-,,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,,,-
d,d,E6253384902D489FDB1FE487B7ED4AB2,c,consonant,,+,-,,-,+,-,-,+,-,-,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,-,-,-,,,-
x,dz,17B1CFA69C0C6AB5362FFDB585C0C7DC,c-c,consonant,,+,-,,-,+,-,-,+,+,-,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,+,-,-,,,-
xh,d??,C7364BE7F76504D8DE329FFF30C42424,c-d-c,consonant,,-,-,,-,+,-,-,+,+,+,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,+,-,-,,,-
e,e?,258C639F2F822CD1D56805F5397712E4,v-d,vowel,-,,+,-,,-,-,+,-,,,+,-,,+,-,-,,-,-,-,-,-,+,-,-,,-,+,-,-,,+,-,+,,-
f,f,86E80A7DA80F7F58CA76F85BACA48F86,c,consonant,,,-,,-,+,-,+,-,+,,-,-,-,,,+,+,-,-,,-,-,-,-,,-,-,-,-,-,,-,-,,,-
h,h,E7FBD92350B3CA8B7B5D77E36A607068,c,consonant,,,-,,-,-,-,+,-,+,,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,+,-,,-,-,,,-
i,i,F0585BB57111C322D6E7DABB0D01F9EA,v,vowel,-,,+,-,,-,-,+,-,,,+,-,,+,+,-,,-,-,-,-,-,+,-,-,,-,+,-,-,,+,-,+,,-
j,j,ADF56B8E4119266843033E723A149AE2,c,consonant,,,+,-,-,-,-,+,-,,,+,-,-,+,+,-,,-,-,-,-,-,+,-,,,-,+,-,-,,-,-,+,,-
k,k,5A838FF4DABE1950734CFAFAB9383903,c,consonant,,,-,-,-,+,-,-,-,-,,+,-,-,-,+,-,,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,,,-
l,l,03413638BD1DFC7AEF53192FEF71F017,c,consonant,,+,+,,-,+,-,+,+,,-,-,-,-,,,-,,+,-,,-,-,+,-,,,-,+,-,-,-,-,-,,,-
ll,l?,0D5532C7D78A47723C3DCBA529FD22B6,c-d,consonant,,+,+,+,-,+,-,+,+,,-,+,-,-,-,+,-,,+,-,-,-,-,+,-,,,-,+,-,-,-,-,-,,,-
m,m,5AE9663626770D1D4B97AAE5769AB83C,c,consonant,,,-,,-,+,-,-,-,,,-,-,-,,,+,-,-,-,,-,+,+,-,,-,-,+,-,-,,-,-,,,-
n,n,E03DA215BAB0A158BA5D1CB5C4D5D6FD,c,consonant,,+,-,,-,+,-,-,+,,-,-,-,-,,,-,,-,-,,-,+,+,-,,,-,+,-,-,-,-,-,,,-
o,o?,CCF0350A2EFEF792529909972278B165,v-d,vowel,-,,+,+,,-,-,+,-,,,+,-,,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,,+,-,+,,-
p,p,2D6FB64B3CDC3549EF11DB98A66A9EAD,c,consonant,,,-,,-,+,-,-,-,-,,-,-,-,,,+,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,-,,,-
"r,rr",r,5D1D7FB69E1A3C0C60001FBC0C19ED87,c,consonant,,+,+,,-,+,-,+,+,,-,-,-,-,,,-,,-,-,,-,-,+,-,,,-,+,-,-,-,-,-,,,+
s,s,7FF174469DAC4E61520F4E1610B2F088,c,consonant,,+,-,,-,+,-,+,+,+,-,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,+,-,-,,,-
t,t,9F90F95459807624A486F03FE5A89978,c,consonant,,+,-,,-,+,-,-,+,-,-,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,-,-,-,,,-
c,ts,106C7FE93D986D037407524D08F3599A,c-c,consonant,,+,-,,-,+,-,-,+,+,-,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,+,-,-,,,-
ç,t??,1348048F53951A5E29ABA6D5360925BA,c-d-c,consonant,,-,-,,-,+,-,-,+,+,+,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,+,-,-,,,-
u,u,58EB693AE523323410326D60806B9ADF,v,vowel,-,,+,+,,-,-,+,-,,,+,-,,-,+,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,,+,-,+,,-
v,v,033ACAA664F151FC56BC9595526BCFA4,c,consonant,,,-,,-,+,-,+,-,+,,-,-,-,,,+,+,-,-,,-,-,+,-,,-,-,-,-,-,,-,-,,,-
y,y,27E498422242BAF54775C75A8C884CF7,v,vowel,-,,+,-,,-,-,+,-,,,+,-,,+,+,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,,+,-,+,,-
z,z,E77FDA2EAABA78B3E55A968B2257CF26,c,consonant,,+,-,,-,+,-,+,+,+,-,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,+,-,-,,,-
dh,ð,C74BECEC6C9DBC95D2C92E893F72A8AD,c,consonant,,+,-,,-,+,-,+,+,+,+,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,-,-,-,,,-
ë ,?,D9B28B2D674EBA4B03C38B36D77E563E,v,vowel,-,,+,-,,-,-,+,-,,,+,-,,-,-,-,,-,-,-,-,-,+,-,-,,-,+,-,-,,+,-,-,,-
gj,??,F326C3A9DEC331359D3C189A02B5F7E5,c-c,consonant,,-,-,-,-,+,-,-,+,+,+,+,-,-,+,+,-,,-,-,-,-,-,+,-,,,-,-,-,-,-,-,-,,,-
gj,?,ECC959553F23387998DAF88D69D7736C,c,consonant,,,-,-,-,+,-,-,-,-,,+,-,-,-,+,-,,-,-,-,-,-,+,-,,,-,-,-,-,,-,-,,,-
nj,??,5219139C492A25130312A2A2D5010359,c-d,consonant,,-,-,-,-,+,-,-,+,,+,+,-,-,+,+,-,,-,-,-,-,+,+,-,,,-,+,-,-,-,-,-,,,-
sh,?,9E7CDEEE9F0DE43C10181AE483F62CBD,c,consonant,,-,-,,-,+,-,+,+,+,+,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,+,-,-,,,-
zh,?,DAC6AC8BCA2D24EFF188A7129D280801,c,consonant,,-,-,,-,+,-,+,+,+,+,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,+,-,-,,,-
th,?,7D184A6DCDA3EB154F9CB34651E02EEE,c,consonant,,+,-,,-,+,-,+,+,+,+,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,-,-,-,,,-
