IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
cç	cç	Body		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
dz	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
e̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
lˠ	l	Tip		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
o̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ts	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
y	y	Vowel	-		+	-		-	-	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ð	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ə	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɟʝ	cç	Body		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɲ̟	ŋ	Body		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʒ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
θ	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
