confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,8050,null,,m Tosk Albanian (UPSID),8050,8050
,,,,8048,null,,k Tosk Albanian (UPSID),8048,8048
,,,,8030,null,,i Tosk Albanian (UPSID),8030,8030
,,,,8036,null,,a Tosk Albanian (UPSID),8036,8036
,,,,8049,null,,j Tosk Albanian (UPSID),8049,8049
,,,,8053,null,,p Tosk Albanian (UPSID),8053,8053
,,,,8039,null,,u Tosk Albanian (UPSID),8039,8039
,,,,8052,null,,n Tosk Albanian (UPSID),8052,8052
,,,,8044,null,,b Tosk Albanian (UPSID),8044,8044
,,,,8051,null,,l Tosk Albanian (UPSID),8051,8051
,,,,8047,null,,h Tosk Albanian (UPSID),8047,8047
,,,,8043,null,,ɡ Tosk Albanian (UPSID),8043,8043
,,,,8045,null,,f Tosk Albanian (UPSID),8045,8045
,,,,8035,null,,t̠ʃ Tosk Albanian (UPSID),8035,8035
,,,,8024,null,,ʃ Tosk Albanian (UPSID),8024,8024
,,,,8034,null,,d̠ʒ Tosk Albanian (UPSID),8034,8034
,,,,8056,null,,v Tosk Albanian (UPSID),8056,8056
,,,,8055,null,,t̪ Tosk Albanian (UPSID),8055,8055
,,,,8041,null,,ə Tosk Albanian (UPSID),8041,8041
,,,,8025,null,,d̪ Tosk Albanian (UPSID),8025,8025
,,,,8028,null,,ʒ Tosk Albanian (UPSID),8028,8028
,,,,8027,null,,o̞ Tosk Albanian (UPSID),8027,8027
,,,,8054,null,,e̞ Tosk Albanian (UPSID),8054,8054
,,,,8033,null,,s̪ Tosk Albanian (UPSID),8033,8033
,,,,8026,null,,cç Tosk Albanian (UPSID),8026,8026
,,,,8037,null,,ɟʝ Tosk Albanian (UPSID),8037,8037
,,,,8032,null,,ð Tosk Albanian (UPSID),8032,8032
,,,,8040,null,,θ Tosk Albanian (UPSID),8040,8040
,,,,8057,null,,y Tosk Albanian (UPSID),8057,8057
,,,,8038,null,,z̪ Tosk Albanian (UPSID),8038,8038
,,,,8042,null,,t̪s̪ Tosk Albanian (UPSID),8042,8042
,,,,8058,null,,r̪ Tosk Albanian (UPSID),8058,8058
,,,,8046,null,,n̠ Tosk Albanian (UPSID),8046,8046
,,,,8029,null,,d̪z̪ Tosk Albanian (UPSID),8029,8029
,,,,8031,null,,lˠ Tosk Albanian (UPSID),8031,8031
