confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,4751,null,,m Amharic (SPA),4751,4751
,,,,4749,null,,k Amharic (SPA),4749,4749
,,,,4747,null,,i Amharic (SPA),4747,4747
,,,,4710,null,,a Amharic (SPA),4710,4710
,,,,4708,null,,j Amharic (SPA),4708,4708
,,,,4723,null,,p Amharic (SPA),4723,4723
,,,,4722,null,,u Amharic (SPA),4722,4722
,,,,4733,null,,w Amharic (SPA),4733,4733
,,,,4754,null,,n Amharic (SPA),4754,4754
,,,,4756,null,,s Amharic (SPA),4756,4756
,,,,4759,null,,t Amharic (SPA),4759,4759
,,,,4743,null,,b Amharic (SPA),4743,4743
,,,,4720,null,,o Amharic (SPA),4720,4720
,,,,4739,null,,e Amharic (SPA),4739,4739
,,,,4752,null,,l Amharic (SPA),4752,4752
,,,,4748,null,,h Amharic (SPA),4748,4748
,,,,4741,null,,ɡ Amharic (SPA),4741,4741
,,,,4745,null,,d Amharic (SPA),4745,4745
,,,,4726,null,,ɲ Amharic (SPA),4726,4726
,,,,4746,null,,f Amharic (SPA),4746,4746
,,,,4758,null,,t̠ʃ Amharic (SPA),4758,4758
,,,,4714,null,,ʔ Amharic (SPA),4714,4714
,,,,4707,null,,ʃ Amharic (SPA),4707,4707
,,,,4762,null,,z Amharic (SPA),4762,4762
,,,,4765,null,,ɾ Amharic (SPA),4765,4765
,,,,4728,null,,d̠ʒ Amharic (SPA),4728,4728
,,,,4738,null,,ə Amharic (SPA),4738,4738
,,,,4761,null,,ɨ Amharic (SPA),4761,4761
,,,,4727,null,,kʷ Amharic (SPA),4727,4727
,,,,4713,null,,ʒ Amharic (SPA),4713,4713
,,,,4731,null,,kʼ Amharic (SPA),4731,4731
,,,,4737,null,,ɡʷ Amharic (SPA),4737,4737
,,,,4719,null,,t̠ʃʼ Amharic (SPA),4719,4719
,,,,4742,null,,tʼ Amharic (SPA),4742,4742
,,,,4753,null,,pʼ Amharic (SPA),4753,4753
,,,,4736,null,,mː Amharic (SPA),4736,4736
,,,,4716,null,,nː Amharic (SPA),4716,4716
,,,,4735,null,,kː Amharic (SPA),4735,4735
,,,,4711,null,,hʷ Amharic (SPA),4711,4711
,,,,4715,null,,lː Amharic (SPA),4715,4715
,,,,4729,null,,bː Amharic (SPA),4729,4729
,,,,4734,null,,sː Amharic (SPA),4734,4734
,,,,4724,null,,kʷʼ Amharic (SPA),4724,4724
,,,,4712,null,,tː Amharic (SPA),4712,4712
,,,,4725,null,,ɡː Amharic (SPA),4725,4725
,,,,4717,null,,rː Amharic (SPA),4717,4717
,,,,4764,null,,dː Amharic (SPA),4764,4764
,,,,4709,null,,ɲː Amharic (SPA),4709,4709
,,,,4732,null,,fː Amharic (SPA),4732,4732
,,,,4718,null,,ʃː Amharic (SPA),4718,4718
,,,,4755,null,,t̠ʃː Amharic (SPA),4755,4755
,,,,4760,null,,d̠ʒː Amharic (SPA),4760,4760
,,,,4730,null,,zː Amharic (SPA),4730,4730
,,,,4750,null,,sʼ Amharic (SPA),4750,4750
,,,,4721,null,,kʼː Amharic (SPA),4721,4721
,,,,4740,null,,t̠ʃʼː Amharic (SPA),4740,4740
,,,,4757,null,,tʼː Amharic (SPA),4757,4757
,,,,4744,null,,ʒː Amharic (SPA),4744,4744
,,,,4763,null,,sʼː Amharic (SPA),4763,4763
