IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
dː	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
d̠ʒː	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
e	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
fː	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
hʷ	h	Guttural			-		-	-	-	+	-	+		-	-	-			+		-	-		-	-	-	-		+	-	-	+	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʷ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
kʷʼ	k	Body			-	-	-	+	+	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
kʼ	k	Body			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
kʼː	k	Body			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	+			-	-	-	-		-	-			-
kː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
lː	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mː	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
nː	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-
o	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
pʼ	p	Lips			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	-	+		-	-	-	-	-		-	-			-
rː	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	+		-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
sʼ	s	Tip		+	-		-	+	+	+	+	+	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
sʼː	s	Tip		+	-		-	+	+	+	+	+	-	-	-	-			-		-	+		-	-	-	+			-	-	-	-	+	-	-			-
sː	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
tʼ	t	Tip		+	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
tʼː	t	Tip		+	-		-	+	+	-	+	-	-	-	-	-			-		-	+		-	-	-	+			-	-	-	-	-	-	-			-
tː	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̠ʃʼ	ts	Tip		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
