confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,8144,null,,m Amharic (UPSID),8144,8144
,,,,8168,null,,k Amharic (UPSID),8168,8168
,,,,8166,null,,i Amharic (UPSID),8166,8166
,,,,8158,null,,a Amharic (UPSID),8158,8158
,,,,8169,null,,j Amharic (UPSID),8169,8169
,,,,8173,null,,p Amharic (UPSID),8173,8173
,,,,8149,null,,u Amharic (UPSID),8149,8149
,,,,8176,null,,w Amharic (UPSID),8176,8176
,,,,8164,null,,b Amharic (UPSID),8164,8164
,,,,8177,null,,h Amharic (UPSID),8177,8177
,,,,8162,null,,ɡ Amharic (UPSID),8162,8162
,,,,8174,null,,ɲ Amharic (UPSID),8174,8174
,,,,8165,null,,f Amharic (UPSID),8165,8165
,,,,8175,null,,t̠ʃ Amharic (UPSID),8175,8175
,,,,8142,null,,ʃ Amharic (UPSID),8142,8142
,,,,8178,null,,ɾ Amharic (UPSID),8178,8178
,,,,8154,null,,d̠ʒ Amharic (UPSID),8154,8154
,,,,8155,null,,t̪ Amharic (UPSID),8155,8155
,,,,8160,null,,ə Amharic (UPSID),8160,8160
,,,,8167,null,,ɨ Amharic (UPSID),8167,8167
,,,,8143,null,,d̪ Amharic (UPSID),8143,8143
,,,,8163,null,,n̪ Amharic (UPSID),8163,8163
,,,,8153,null,,kʷ Amharic (UPSID),8153,8153
,,,,8147,null,,ʒ Amharic (UPSID),8147,8147
,,,,8146,null,,o̞ Amharic (UPSID),8146,8146
,,,,8152,null,,e̞ Amharic (UPSID),8152,8152
,,,,8170,null,,l̪ Amharic (UPSID),8170,8170
,,,,8151,null,,s̪ Amharic (UPSID),8151,8151
,,,,8156,null,,kʼ Amharic (UPSID),8156,8156
,,,,8159,null,,ɡʷ Amharic (UPSID),8159,8159
,,,,8150,null,,t̠ʃʼ Amharic (UPSID),8150,8150
,,,,8172,null,,pʼ Amharic (UPSID),8172,8172
,,,,8157,null,,z̪ Amharic (UPSID),8157,8157
,,,,8145,null,,hʷ Amharic (UPSID),8145,8145
,,,,8161,null,,t̪ʼ Amharic (UPSID),8161,8161
,,,,8148,null,,kʷʼ Amharic (UPSID),8148,8148
,,,,8171,null,,s̪ʷ Amharic (UPSID),8171,8171
