IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ie̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʰ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
kʼ	k	Body			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
o̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
pʰ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-
pʼ	p	Lips			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	-	+		-	-	-	-	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ts	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
tsʰ	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
tsʼ	ts	Tip		+	-		-	+	+	-	+	+	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
tʰ	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
tʼ	t	Tip		+	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̠ʃʰ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
t̠ʃʼ	ts	Tip		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	+	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ə	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ə̯	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		-	-	-		-
ʁ̞	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʐ͇	s	Tip		-	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ʒ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
χ	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
