confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,12616,null,,m Nuclear Armenian (UPSID),12616,12616
,,,,12639,null,,k Nuclear Armenian (UPSID),12639,12639
,,,,12637,null,,i Nuclear Armenian (UPSID),12637,12637
,,,,12634,null,,a Nuclear Armenian (UPSID),12634,12634
,,,,12640,null,,j Nuclear Armenian (UPSID),12640,12640
,,,,12644,null,,p Nuclear Armenian (UPSID),12644,12644
,,,,12631,null,,u Nuclear Armenian (UPSID),12631,12631
,,,,12638,null,,h Nuclear Armenian (UPSID),12638,12638
,,,,12636,null,,f Nuclear Armenian (UPSID),12636,12636
,,,,12647,null,,t̠ʃ Nuclear Armenian (UPSID),12647,12647
,,,,12615,null,,ʃ Nuclear Armenian (UPSID),12615,12615
,,,,12646,null,,r Nuclear Armenian (UPSID),12646,12646
,,,,12649,null,,v Nuclear Armenian (UPSID),12649,12649
,,,,12624,null,,t̪ Nuclear Armenian (UPSID),12624,12624
,,,,12623,null,,kʰ Nuclear Armenian (UPSID),12623,12623
,,,,12628,null,,n̪ Nuclear Armenian (UPSID),12628,12628
,,,,12635,null,,pʰ Nuclear Armenian (UPSID),12635,12635
,,,,12618,null,,ʒ Nuclear Armenian (UPSID),12618,12618
,,,,12643,null,,o̞ Nuclear Armenian (UPSID),12643,12643
,,,,12629,null,,e̞ Nuclear Armenian (UPSID),12629,12629
,,,,12641,null,,l̪ Nuclear Armenian (UPSID),12641,12641
,,,,12622,null,,s̪ Nuclear Armenian (UPSID),12622,12622
,,,,12625,null,,kʼ Nuclear Armenian (UPSID),12625,12625
,,,,12630,null,,t̪ʰ Nuclear Armenian (UPSID),12630,12630
,,,,12617,null,,t̠ʃʰ Nuclear Armenian (UPSID),12617,12617
,,,,12619,null,,t̠ʃʼ Nuclear Armenian (UPSID),12619,12619
,,,,12642,null,,pʼ Nuclear Armenian (UPSID),12642,12642
,,,,12626,null,,χ Nuclear Armenian (UPSID),12626,12626
,,,,12620,null,,z̪ Nuclear Armenian (UPSID),12620,12620
,,,,12632,null,,t̪s̪ Nuclear Armenian (UPSID),12632,12632
,,,,12621,null,,t̪ʼ Nuclear Armenian (UPSID),12621,12621
,,,,12650,null,,t̪s̪ʰ Nuclear Armenian (UPSID),12650,12650
,,,,12645,null,,t̪s̪ʼ Nuclear Armenian (UPSID),12645,12645
,,,,12627,null,,ie̞ Nuclear Armenian (UPSID),12627,12627
,,,,12648,null,,ʐ͇ Nuclear Armenian (UPSID),12648,12648
,,,,12633,null,,ʁ̞ Nuclear Armenian (UPSID),12633,12633
