IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
ai	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̠ʒ̤	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
q	k	Body			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
sˤ	s	Tip	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-	+		-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
tˤ	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-	+		-	-	-	-	-	-	-			-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
x	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ð	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ɛ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʋ	w	Lips			+		-	-	-	+	-			-	-	-			+	+	-	-		-	-	+	-		-	-	+	-	-		-	-			-
θ	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
