IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a̟	a	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
c	k	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cʰ	k	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
d̠ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
f	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
kʰ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
p	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
pʰ	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	+	-		-	-	-
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tʰ	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
t̠ʃ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
v	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
x	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
z	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
z͇	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
ø	ø	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ɑ	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɛ	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɣ	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
ɪ	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɯ̞	ɨ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ʃ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
ʊ	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ʏ	y	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ʒ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
ʔ	ʔ	Guttural		-	-	+	+	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
