confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,7205,{},,m South Azerbaijani (SPA),7205,7205
,,,,7203,{},,k South Azerbaijani (SPA),7203,7203
,,,,7184,{},,j South Azerbaijani (SPA),7184,7184
,,,,7209,{},,p South Azerbaijani (SPA),7209,7209
,,,,7208,{},,n South Azerbaijani (SPA),7208,7208
,,,,7210,{},,s South Azerbaijani (SPA),7210,7210
,,,,7212,{},,t South Azerbaijani (SPA),7212,7212
,,,,7190,{},,o South Azerbaijani (SPA),7190,7190
,,,,7206,{},,l South Azerbaijani (SPA),7206,7206
,,,,7202,{},,h South Azerbaijani (SPA),7202,7202
,,,,7201,{},,f South Azerbaijani (SPA),7201,7201
,,,,7211,{},,t̠ʃ South Azerbaijani (SPA),7211,7211
,,,,7189,{},,ʔ South Azerbaijani (SPA),7189,7189
,,,,7198,{},,ɛ South Azerbaijani (SPA),7198,7198
,,,,7183,{},,ʃ South Azerbaijani (SPA),7183,7183
,,,,7215,{},,z South Azerbaijani (SPA),7215,7215
,,,,7194,{},,d̠ʒ South Azerbaijani (SPA),7194,7194
,,,,7213,{},,v South Azerbaijani (SPA),7213,7213
,,,,7214,{},,x South Azerbaijani (SPA),7214,7214
,,,,7193,{},,kʰ South Azerbaijani (SPA),7193,7193
,,,,7200,{},,pʰ South Azerbaijani (SPA),7200,7200
,,,,7204,{},,ɪ South Azerbaijani (SPA),7204,7204
,,,,7185,{},,ʊ South Azerbaijani (SPA),7185,7185
,,,,7188,{},,ʒ South Azerbaijani (SPA),7188,7188
,,,,7191,{},,c South Azerbaijani (SPA),7191,7191
,,,,7195,{},,ɣ South Azerbaijani (SPA),7195,7195
,,,,7207,{},,tʰ South Azerbaijani (SPA),7207,7207
,,,,7196,{},,ɑ South Azerbaijani (SPA),7196,7196
,,,,7199,{},,cʰ South Azerbaijani (SPA),7199,7199
,,,,7197,{},,ø South Azerbaijani (SPA),7197,7197
,,,,7216,{},,a̟ South Azerbaijani (SPA),7216,7216
,,,,7186,{},,ʏ South Azerbaijani (SPA),7186,7186
,,,,7187,{},,ɯ̞ South Azerbaijani (SPA),7187,7187
,,,,7192,{},,z͇ South Azerbaijani (SPA),7192,7192
