IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bʲ	p	Lips			-	+	-	+	-	-	-	-		+	-	-	+	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
dz	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
dʲ	t	Tip		+	-	+	-	+	-	-	+	-	-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
fʲ	f	Lips			-	+	-	+	-	+	-	+		+	-	-	+	+	+	+	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ĩ	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
kʰ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
kʲʰ	k	Body			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
lʲ	l	Tip		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
lˠ	l	Tip		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mʲ	m	Lips			-	+	-	+	-	-	-			+	-	-	+	+	+	-	-	-	-	-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
nʲ	n	Tip		+	-	+	-	+	-	-	+		-	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
pʰ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-
pʲʰ	p	Lips			-	+	-	+	-	-	-	-		+	-	-	+	+	+	-	-	-	-	-	-	-	-		-	-	-	+	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
rʲ	ɻ	Tip		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
sʲ	s	Tip		+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
ts	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
tsʲ	ts	Tip		+	-	+	-	+	-	-	+	+	-	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
tʰ	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
tʲʰ	t	Tip		+	-	+	-	+	-	-	+	-	-	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ũ	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
vʲ	f	Lips			-	+	-	+	-	+	-	+		+	-	-	+	+	+	+	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
x	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
zʲ	s	Tip		+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
ɑ	ɑ	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
ɑ̃	ɑ	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
ɔ	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɔ̃	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	-		-
ɛ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɛ̃	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɡʲ	k	Body			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɤ	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɤ̃	ə̰	Vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʒ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
