b	p
p	pʰ
m	m
f	f
d	t
t	tʰ
n	n
l	l
g	k
k	kʰ
ng	ŋ
h	h
gw	kʷ
kw	kʰʷ
w	w
z	ts
c	tsʰ
s	s
j	j
aa	aː
aai	aːi
aau	aːu
aam	aː m
aan	aː n
aang	aː ŋ
aap	aː p
aat	aː t
aak	aː k
ai	ɐi
au	ɐu
am	ɐ m
an	ɐ n
ang	ɐ ŋ
ap	ɐ p
at	ɐ t
ak	ɐ k
e	ɛː
ei	ei
eu	ɛːu
em	ɛː m
eng	ɛː ŋ
ep	ɛː p
ek	ɛː k
i	iː
iu	iːu
im	iː m
in	iː n
ing	ɪ ŋ
ip	iː p
it	iː t
ik	ɪ k
o	ɔː
oi	ɔːi
ou	ou
on	ɔː n
ong	ɔː ŋ
ot	ɔː t
ok	ɔː k
u	uː
ui	uːi
un	uː n
ung	ʊ ŋ
ut	uː t
uk	ʊ k
oe	œː
eoi	ɵy
eon	ɵ n
oeng	œː ŋ
eot	ɵ t
oek	œː k
yu	yː
yun	yː n
yut	yː t
m	m̩
ng	ŋ̩
1	˥
2	˧˥
3	˧
4	˨˩
5	˩˧
6	˨

