confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,61907,{},,m Cebuano (GM),61907,61907
,,,,61905,{},,k Cebuano (GM),61905,61905
,,,,61903,{},,i Cebuano (GM),61903,61903
,,,,61898,{},,a Cebuano (GM),61898,61898
,,,,61906,{},,j Cebuano (GM),61906,61906
,,,,61910,{},,p Cebuano (GM),61910,61910
,,,,61897,{},,u Cebuano (GM),61897,61897
,,,,61915,{},,w Cebuano (GM),61915,61915
,,,,61909,{},,n Cebuano (GM),61909,61909
,,,,61911,{},,s Cebuano (GM),61911,61911
,,,,61914,{},,t Cebuano (GM),61914,61914
,,,,61901,{},,b Cebuano (GM),61901,61901
,,,,61908,{},,l Cebuano (GM),61908,61908
,,,,61904,{},,h Cebuano (GM),61904,61904
,,,,61900,{},,ɡ Cebuano (GM),61900,61900
,,,,61899,{},,ŋ Cebuano (GM),61899,61899
,,,,61902,{},,d Cebuano (GM),61902,61902
,,,,61913,{},,t̠ʃ Cebuano (GM),61913,61913
,,,,61895,{},,ʔ Cebuano (GM),61895,61895
,,,,61912,{},,r Cebuano (GM),61912,61912
,,,,61896,{},,d̠ʒ Cebuano (GM),61896,61896
