IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a̟	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
dː	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
dˤ	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	-	-	-			-
dˤː	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-	+		-	-	-	-	-	-	-			-
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
eː	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
fː	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
hː	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	+		-	-	-	-			-	-	+	-		-	-			-
iː	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
jː	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	+	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
lː	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mː	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
nː	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-
oː	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
q	k	Body			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
