IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
ai	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
au	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
e̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
e̞i	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
e̞u	əu	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	-,+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mb	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	+,-	+	-		-	-	+,-	-	-		-	-			-
nr	n	Tip		+	-,+		-	+	-	-,+	+		-	-	-	-			-		-	-		-	+,-	+	-			-	+	-	-	-	-	-			-,+
n̪	n	Tip		+	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
n̪d̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	+,-	+	-			-	+,-	-	-	-	-	-			-
o̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
o̞i	əu	Vowel	-		+	+,-		-	-	+	-			+	-		-,+	-,+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
o̞u	əu	Vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ð	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
ŋɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-		-	-			-
ɰ	j	Body			+	+	-	-	-	+	-			+	-	-	-	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
ʔ	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
β	f	Lips			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
