IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a̟	a	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
e̞	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
kʰ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
kʼ	k	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	-	-	+	-	-	-	-		-	-	-
lˠ	l	Tip	+	+	-	+	-	+	+	-	+	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
o̞	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
p	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
pʰ	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	+	-		-	-	-
pʼ	p	Lips		-	-	+	+	-	-		-	-	-	+	-	-	-	-	-	+	-	-	-	-		-	-	-
qʼ	k	Body		-	-	+	+	-	-		+	-	-	-	-	-	-	-	-	+	-	-	-	-		-	-	-
r	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	+
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ts	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
tsʰ	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-
tsʼ	ts	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-
tʰ	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
tʼ	t	Tip	+	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-
t̠ʃ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t̠ʃʰ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-
t̠ʃʼ	ts	Tip	-	-	-	+	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-
z	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
ə̆	ə̰	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	+	+	-	-		+	-	-
ɪ	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ʁ	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
ʃ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
ʊ	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ʒ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
β	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
χ	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
