confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,223,{},,m Nuclear Georgian (SPA),223,223
,,,,221,{},,k Nuclear Georgian (SPA),221,221
,,,,200,{},,j Nuclear Georgian (SPA),200,200
,,,,226,{},,p Nuclear Georgian (SPA),226,226
,,,,225,{},,n Nuclear Georgian (SPA),225,225
,,,,227,{},,s Nuclear Georgian (SPA),227,227
,,,,230,{},,t Nuclear Georgian (SPA),230,230
,,,,220,{},,h Nuclear Georgian (SPA),220,220
,,,,229,{},,t̠ʃ Nuclear Georgian (SPA),229,229
,,,,199,{},,ʃ Nuclear Georgian (SPA),199,199
,,,,228,{},,r Nuclear Georgian (SPA),228,228
,,,,231,{},,z Nuclear Georgian (SPA),231,231
,,,,209,{},,ts Nuclear Georgian (SPA),209,209
,,,,211,{},,kʰ Nuclear Georgian (SPA),211,211
,,,,218,{},,pʰ Nuclear Georgian (SPA),218,218
,,,,222,{},,ɪ Nuclear Georgian (SPA),222,222
,,,,201,{},,ʊ Nuclear Georgian (SPA),201,201
,,,,204,{},,ʒ Nuclear Georgian (SPA),204,204
,,,,213,{},,β Nuclear Georgian (SPA),213,213
,,,,224,{},,tʰ Nuclear Georgian (SPA),224,224
,,,,219,{},,o̞ Nuclear Georgian (SPA),219,219
,,,,216,{},,e̞ Nuclear Georgian (SPA),216,216
,,,,212,{},,kʼ Nuclear Georgian (SPA),212,212
,,,,203,{},,t̠ʃʰ Nuclear Georgian (SPA),203,203
,,,,206,{},,t̠ʃʼ Nuclear Georgian (SPA),206,206
,,,,215,{},,tʼ Nuclear Georgian (SPA),215,215
,,,,205,{},,pʼ Nuclear Georgian (SPA),205,205
,,,,214,{},,χ Nuclear Georgian (SPA),214,214
,,,,208,{},,tsʼ Nuclear Georgian (SPA),208,208
,,,,232,{},,tsʰ Nuclear Georgian (SPA),232,232
,,,,198,{},,ʁ Nuclear Georgian (SPA),198,198
,,,,202,{},,qʼ Nuclear Georgian (SPA),202,202
,,,,210,{},,a̟ Nuclear Georgian (SPA),210,210
,,,,207,{},,lˠ Nuclear Georgian (SPA),207,207
,,,,217,{},,ə̆ Nuclear Georgian (SPA),217,217
