IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
ai	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
au	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
e̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
j̰	j	Body			+	-	-	-	+	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʲ	k	Body			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʲʼ	k	Body			-	+	-	+	+	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
kʷ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
kʷʼ	k	Body			-	-	-	+	+	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
kʼ	k	Body			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
o̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
sˀ	s	Tip		+	-		-	+	+	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɓ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		+	-	+	-		-	-	-	-	-		-	-			-
ɗ	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		+	-	+	-			-	-	-	-	-	-	-			-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɡʲ	k	Body			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɡʷ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
ɸ	f	Lips			-		-	+	-	+	-	+		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
ɽ	ɻ	Tip		-	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʔ	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
