अ	a
आ	aː
ा	aː
इ	i	
ि	i	
ई	iː	
ी	iː
उ	u	
ु	u	
ऊ	uː	
ू	uː
ऋ	ʁ ɪ
ृ	ʁ ɪ	
ॠ	ʁ ɪ	
ॄ	ʁ ɪ
ऌ	ʊ l
ॢ	ʊ l	
ॡ	ʊ l	
ॣ	ʊ l
ए	e	
े	e	
ऐ	æe̯	
ै	æe̯
ओ	o	
ो	o		
औ	ɔo̯	
ौ	ɔo̯
ं	m
ः	ɦ
क	k
ख	kʰ
ग	ɡ
घ	ɡʱ
ङ	ŋ
च	t̠ʃ
छ	t̠ʃʰ
ज	d̠ʒ
झ	d̠ʒ̤
ञ	ɲ
य	j
श	ʃː
ट	ʈ
ठ	ʈʰ
ड	ɖ
ढ	ɖ̤
ण	ɳ
र	r
ष	ʂ
त	t̪
थ	t̪ʰ
द	d̪
ध	d̪̤
न	n̪
ल	l
स	s
प	p
फ	pʰ
ब	b
भ	b̤
म	m
व	ʋ
क	k a
ख	kʰ a
ग	ɡ a
घ	ɡʱ a
ङ	ŋ a
च	t̠ʃ a
छ	t̠ʃʰ a
ज	d̠ʒ a
झ	d̠ʒ̤ a
ञ	ɲ a
य	j a
श	ʃː a
ट	ʈ a
ठ	ʈʰ a
ड	ɖ a
ढ	ɖ̤ a
ण	ɳ a
र	r a
ष	ʂ a
त	t̪ a
थ	t̪ʰ a
द	d̪ a
ध	d̪̤ a
न	n̪ a
ल	l a
स	s a
प	p a
फ	pʰ a
ब	b a
भ	b̤ a
म	m a
व	ʋ a
ॐ	a o m
।	[clause]
॥	[chapter]
०	0
१	1
२	2
३	3
४	4
५	5
६	6
७	7
८	8
९	9

