confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,5336,{},,m Nuclear Igbo (SPA),5336,5336
,,,,5334,{},,k Nuclear Igbo (SPA),5334,5334
,,,,5332,{},,i Nuclear Igbo (SPA),5332,5332
,,,,5320,{},,a Nuclear Igbo (SPA),5320,5320
,,,,5288,{},,j Nuclear Igbo (SPA),5288,5288
,,,,5340,{},,p Nuclear Igbo (SPA),5340,5340
,,,,5299,{},,u Nuclear Igbo (SPA),5299,5299
,,,,5345,{},,w Nuclear Igbo (SPA),5345,5345
,,,,5339,{},,n Nuclear Igbo (SPA),5339,5339
,,,,5341,{},,s Nuclear Igbo (SPA),5341,5341
,,,,5344,{},,t Nuclear Igbo (SPA),5344,5344
,,,,5327,{},,b Nuclear Igbo (SPA),5327,5327
,,,,5289,{},,o Nuclear Igbo (SPA),5289,5289
,,,,5328,{},,e Nuclear Igbo (SPA),5328,5328
,,,,5337,{},,l Nuclear Igbo (SPA),5337,5337
,,,,5333,{},,h Nuclear Igbo (SPA),5333,5333
,,,,5313,{},,ɡ Nuclear Igbo (SPA),5313,5313
,,,,5316,{},,ŋ Nuclear Igbo (SPA),5316,5316
,,,,5329,{},,d Nuclear Igbo (SPA),5329,5329
,,,,5342,{},,ɲ Nuclear Igbo (SPA),5342,5342
,,,,5335,{},,f Nuclear Igbo (SPA),5335,5335
,,,,5343,{},,t̠ʃ Nuclear Igbo (SPA),5343,5343
,,,,5323,{},,ɛ Nuclear Igbo (SPA),5323,5323
,,,,5324,{},,ɔ Nuclear Igbo (SPA),5324,5324
,,,,5348,{},,z Nuclear Igbo (SPA),5348,5348
,,,,5350,{},,ɾ Nuclear Igbo (SPA),5350,5350
,,,,5308,{},,d̠ʒ Nuclear Igbo (SPA),5308,5308
,,,,5346,{},,v Nuclear Igbo (SPA),5346,5346
,,,,5347,{},,ĩ Nuclear Igbo (SPA),5347,5347
,,,,5305,{},,ã Nuclear Igbo (SPA),5305,5305
,,,,5303,{},,ũ Nuclear Igbo (SPA),5303,5303
,,,,5306,{},,kʰ Nuclear Igbo (SPA),5306,5306
,,,,5326,{},,pʰ Nuclear Igbo (SPA),5326,5326
,,,,5292,{},,ʊ Nuclear Igbo (SPA),5292,5292
,,,,5307,{},,kʷ Nuclear Igbo (SPA),5307,5307
,,,,5293,{},,õ Nuclear Igbo (SPA),5293,5293
,,,,5310,{},,ɣ Nuclear Igbo (SPA),5310,5310
,,,,5319,{},,ɓ Nuclear Igbo (SPA),5319,5319
,,,,5315,{},,ẽ Nuclear Igbo (SPA),5315,5315
,,,,5330,{},,˧ Nuclear Igbo (SPA),5330,5330
,,,,5338,{},,tʰ Nuclear Igbo (SPA),5338,5338
,,,,5318,{},,ɛ̃ Nuclear Igbo (SPA),5318,5318
,,,,5349,{},,ɔ̃ Nuclear Igbo (SPA),5349,5349
,,,,5321,{},,ɡʷ Nuclear Igbo (SPA),5321,5321
,,,,5331,{},,t̠ʃʰ Nuclear Igbo (SPA),5331,5331
,,,,5296,{},,ŋʷ Nuclear Igbo (SPA),5296,5296
,,,,5301,{},,ʊ̃ Nuclear Igbo (SPA),5301,5301
,,,,5322,{},,˥ Nuclear Igbo (SPA),5322,5322
,,,,5294,{},,hʷ Nuclear Igbo (SPA),5294,5294
,,,,5286,{},,b̤ Nuclear Igbo (SPA),5286,5286
,,,,5312,{},,˩ Nuclear Igbo (SPA),5312,5312
,,,,5325,{},,pʲ Nuclear Igbo (SPA),5325,5325
,,,,5295,{},,kʷʰ Nuclear Igbo (SPA),5295,5295
,,,,5298,{},,bʲ Nuclear Igbo (SPA),5298,5298
,,,,5290,{},,hʲ Nuclear Igbo (SPA),5290,5290
,,,,5314,{},,ɡ̤ Nuclear Igbo (SPA),5314,5314
,,,,5311,{},,ɾʲ Nuclear Igbo (SPA),5311,5311
,,,,5304,{},,m̩ Nuclear Igbo (SPA),5304,5304
,,,,5291,{},,d̤ Nuclear Igbo (SPA),5291,5291
,,,,5287,{},,d̠ʒ̤ Nuclear Igbo (SPA),5287,5287
,,,,5300,{},,ɓ̥ Nuclear Igbo (SPA),5300,5300
,,,,5297,{},,pʲʰ Nuclear Igbo (SPA),5297,5297
,,,,5317,{},,ɗ̥ Nuclear Igbo (SPA),5317,5317
,,,,5302,{},,ɡ̤ʷ Nuclear Igbo (SPA),5302,5302
,,,,5309,{},,b̤ʲ Nuclear Igbo (SPA),5309,5309
