ꦲ	h a
ꦲ꧀	h
ꦤ	ɳ a
ꦤ꧀	ɳ
ꦔ	ɳ a
ꦔ꧀	ɳ
ꦕ	tʃ a
ꦕ꧀	tʃ
ꦖ 	tʃ a
ꦖ꧀	tʃ
ꦫ	ɽ a
ꦫ꧀	ɽ
ꦏ	k a
ꦏ꧀	k
ꦑ	k a
ꦑ꧀	k
ꦢ	d a
ꦢ꧀	d
ꦝ	d a
ꦝ꧀	d
ꦠ	t a
ꦠ꧀	t
ꦡ	t a
ꦡ꧀	t
ꦱ	s a
ꦱ꧀	s
ꦯ	s a
ꦯ꧀	s
ꦮ	w a
ꦮ꧀	w
ꦭ	l a
ꦭ꧀	l
ꦥ	p a
ꦥ꧀	p
ꦦ	p a
ꦦ꧀	p
ꦣ	ɖ a
ꦣ꧀	ɖ
ꦗ	dʒ a
ꦗ꧀	dʒ
ꦪ	j a
ꦪ꧀	j
ꦚ	ɲ a
ꦚ꧀	ɲ
ꦘ	ɲ a
ꦘ꧀	ɲ

ꦩ	m a
ꦩ꧀	m
ꦒ	ɡ a
ꦒ꧀	ɡ
ꦓ	ɡ a
ꦓ꧀	ɡ
ꦧ	b a
ꦧ꧀	b
ꦨ	b a
ꦨ꧀	b
ꦛ	ʈ a
ꦛ꧀	ʈ
ꦟ	ŋ a
ꦟ꧀	ŋ
ꦄ	a
ꦆ	i
ꦈ	u
ꦌ	e
ꦎ	o
ꦉ	r ə
ꦊ	l ə
ꦋ	l ɤ
ꦬ	ɽ a
ꦐ	q a
ꦲ꦳	ħ a
ꦏ꦳	x a
ꦢ꦳	ð a
ꦗ꦳	z a
ꦱ꦳	ʃ a
ꦒ꦳	ɣ a
ꦥ꦳	f a
ꦔ꦳	ʔ a
ꦶ	i
ꦸ	u
ꦺ	e
ꦺꦴ	o
ꦼ	ə
ꦀ	m
ꦁ	ŋ
ꦂ	ɽ
ꦃ	h
ꦽ	r ə
ꦾ	j
ꦿ	ɽ
꧑	s i dʒ i
꧒	l o ɽ o
꧓	t e l u
꧔	p a p a t
꧕	l i m a 
꧖	n e m
꧗	p i t u
꧘	w o l u 
꧙	s a ŋ a
꧐	n o l

