IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
b	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
d	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
d̠ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
e	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
f	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
p	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
r	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	-	+
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t̠ʃ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-
x	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
y	y	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
z	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
ŋ	ŋ	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+	+	-	-	+	-	-		-	-	-
ɔ	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ɖ	t	Tip	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
ə	ə̰	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɛ	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
ɲ	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
ʃ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
ʈ	t	Tip	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔ	ʔ	Guttural		-	-	+	+	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
