confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,61484,{},,m Javanese (GM),61484,61484
,,,,61483,{},,k Javanese (GM),61483,61483
,,,,61481,{},,i Javanese (GM),61481,61481
,,,,61470,{},,a Javanese (GM),61470,61470
,,,,61488,{},,p Javanese (GM),61488,61488
,,,,61469,{},,u Javanese (GM),61469,61469
,,,,61493,{},,w Javanese (GM),61493,61493
,,,,61487,{},,n Javanese (GM),61487,61487
,,,,61489,{},,s Javanese (GM),61489,61489
,,,,61492,{},,t Javanese (GM),61492,61492
,,,,61477,{},,b Javanese (GM),61477,61477
,,,,61486,{},,o Javanese (GM),61486,61486
,,,,61478,{},,e Javanese (GM),61478,61478
,,,,61485,{},,l Javanese (GM),61485,61485
,,,,61482,{},,h Javanese (GM),61482,61482
,,,,61476,{},,ɡ Javanese (GM),61476,61476
,,,,61471,{},,ŋ Javanese (GM),61471,61471
,,,,61479,{},,d Javanese (GM),61479,61479
,,,,61490,{},,ɲ Javanese (GM),61490,61490
,,,,61480,{},,f Javanese (GM),61480,61480
,,,,61491,{},,t̠ʃ Javanese (GM),61491,61491
,,,,61466,{},,ʔ Javanese (GM),61466,61466
,,,,61475,{},,ɛ Javanese (GM),61475,61475
,,,,61472,{},,ɔ Javanese (GM),61472,61472
,,,,61464,{},,ʃ Javanese (GM),61464,61464
,,,,61467,{},,r Javanese (GM),61467,61467
,,,,61496,{},,z Javanese (GM),61496,61496
,,,,61468,{},,d̠ʒ Javanese (GM),61468,61468
,,,,61474,{},,ə Javanese (GM),61474,61474
,,,,61495,{},,x Javanese (GM),61495,61495
,,,,61465,{},,ʈ Javanese (GM),61465,61465
,,,,61473,{},,ɖ Javanese (GM),61473,61473
,,,,61494,{},,y Javanese (GM),61494,61494
