ಅ	a
ಆ	aː
ಇ	i
ಈ	iː
ಉ	u
ಊ	uː
ಋ	ɹ̩
ೠ	ɹ̩
ಎ	e
ಏ	eː
ಐ	ai
ಒ	o
ಓ	oː
ಔ	au
ಕ 	k
ಖ	kʰ
ಗ	ɡ
ಘ	ɡʰ
ಙ	ŋ
ಚ	cç
ಛ	cçʰ
ಜ	ɟʝ
ಝ	ɟ̤ʝ
ಞ	ɳ
ಟ	ʈ
ಠ	ʈʰ
ಡ	ɖ
ಢ	ɖ̤
ಣ	n
ತ	t̪
ಥ	t̪ʰ
ದ	d̪
ಧ	d̪̤
ನ	n̪
ಪ	p
ಫ	pʰ
ಬ	b
ಭ	b̤
ಮ	m
ಯ	j
ರ	ɾ
ಱ	ɾ
ಲ	l
ವ	v
ಶ	ç
ಷ	ʂ
ಸ	s
ಹ	h
ಳ	ɭ
ೞ	l
ಕ 	k a
ಖ	kʰ a
ಗ	ɡ a
ಘ	ɡʰ a
ಙ	ŋ a
ಚ	cç a
ಛ	cçʰ a
ಜ	ɟʝ a
ಝ	ɟ̤ʝ a
ಞ	ɳ a
ಟ	ʈ a
ಠ	ʈʰ a
ಡ	ɖ a
ಢ	ɖ̤ a
ಣ	n a
ತ	t̪ a
ಥ	t̪ʰ a
ದ	d̪ a
ಧ	d̪̤ a
ನ	n̪ a
ಪ	p a
ಫ	pʰ a
ಬ	b a
ಭ	b̤ a
ಮ	m a
ಯ	j a
ರ	ɾ a
ಱ	ɾ a
ಲ	l a
ವ	v a
ಶ	ç a
ಷ	ʂ a
ಸ	s a
ಹ	h a
ಳ	ɭ a
ೞ	l a
ಅಂ	a o m
ಅಃ	a h aː
್	eps
ಾ	aː
ಿ	i
ೀ	iː
ು	u
ೂ	uː
ೃ	ɹ̩
ೆ	e
ೇ	e:
ೈ	ai
ೊ	o
ೋ	o:
ೌ	au
ಂ	a ṃ
ಃ	a ḥ
೦	0
೧	1
೨	2
೩	3
೪	4
೫	5
೬	6
೭	7
೮	8
೯	9

