IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a̟	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
a̟̙ː	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	-	+	-	+		-	+	-	-		+	-			-
ei̙	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	+		-
e̘ː	e	Vowel	+		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
iː	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʰ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
lˠ	l	Tip		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ou̙	əu	Vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		+	-	+		-
o̘ː	o	Vowel	+		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
pʰ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
tʰ	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̠ʃʰ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
uː	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
ɒ	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-			-
ɒː	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	+	-	-	+	-	-	+	-	+	-	-		+	-			-
ɓ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		+	-	+	-		-	-	-	-	-		-	-			-
ɔ	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɔ̘ː	o	Vowel	+		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
ɗ	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		+	-	+	-			-	-	-	-	-	-	-			-
ə	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
əɨ̙	əu	Vowel	-		+	-		-	-	+	-			+	-		-	-,+	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	-,+		-
ə̘ː	ə̰	Vowel	+		+	-		-	-	+	-			+	-		-	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɛ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɛ̘ː	e	Vowel	+		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɨː	ɨ	Vowel	-		+	-		-	-	+	-			+	-		-	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɪ	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɪ̈	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
