IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
aː	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-
e	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
eː	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
iː	i	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
mb	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
nd	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	-	-	-	-
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
oː	o	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-
t	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
uː	u	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-
ð	s	Tip	+	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
ŋ	ŋ	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+	+	-	-	+	-	-		-	-	-
ŋɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-
ɔ	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ɔː	o	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-
ɛ	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɛː	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-
ɣ	ç	Body		-	-	+	-	+	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
ɲ	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
ɲɟ	k	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	-	-	-	-
ɾ	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	+	-
ʃ	s	Tip	-	-	-	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
β	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
