confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,25559,{},,m Kikuyu (AA),25559,25559
,,,,25557,{},,k Kikuyu (AA),25557,25557
,,,,25555,{},,i Kikuyu (AA),25555,25555
,,,,25551,{},,a Kikuyu (AA),25551,25551
,,,,25558,{},,j Kikuyu (AA),25558,25558
,,,,25564,{},,u Kikuyu (AA),25564,25564
,,,,25566,{},,w Kikuyu (AA),25566,25566
,,,,25561,{},,n Kikuyu (AA),25561,25561
,,,,25565,{},,t Kikuyu (AA),25565,25565
,,,,25560,{},,o Kikuyu (AA),25560,25560
,,,,25553,{},,e Kikuyu (AA),25553,25553
,,,,25556,{},,h Kikuyu (AA),25556,25556
,,,,25546,{},,ŋ Kikuyu (AA),25546,25546
,,,,25563,{},,ɲ Kikuyu (AA),25563,25563
,,,,25549,{},,ɛ Kikuyu (AA),25549,25549
,,,,25548,{},,ɔ Kikuyu (AA),25548,25548
,,,,25536,{},,ʃ Kikuyu (AA),25536,25536
,,,,25567,{},,ɾ Kikuyu (AA),25567,25567
,,,,25539,{},,iː Kikuyu (AA),25539,25539
,,,,25542,{},,aː Kikuyu (AA),25542,25542
,,,,25547,{},,uː Kikuyu (AA),25547,25547
,,,,25550,{},,oː Kikuyu (AA),25550,25550
,,,,25544,{},,eː Kikuyu (AA),25544,25544
,,,,25552,{},,ɣ Kikuyu (AA),25552,25552
,,,,25554,{},,mb Kikuyu (AA),25554,25554
,,,,25545,{},,ŋɡ Kikuyu (AA),25545,25545
,,,,25540,{},,nd Kikuyu (AA),25540,25540
,,,,25543,{},,β Kikuyu (AA),25543,25543
,,,,25541,{},,ɔː Kikuyu (AA),25541,25541
,,,,25537,{},,ɛː Kikuyu (AA),25537,25537
,,,,25562,{},,ð Kikuyu (AA),25562,25562
,,,,25538,{},,ɲɟ Kikuyu (AA),25538,25538
