confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,57137,{},,m Kituba (Democratic Republic of Congo) (GM),57137,57137
,,,,57135,{},,k Kituba (Democratic Republic of Congo) (GM),57135,57135
,,,,57134,{},,i Kituba (Democratic Republic of Congo) (GM),57134,57134
,,,,57127,{},,a Kituba (Democratic Republic of Congo) (GM),57127,57127
,,,,57136,{},,j Kituba (Democratic Republic of Congo) (GM),57136,57136
,,,,57141,{},,p Kituba (Democratic Republic of Congo) (GM),57141,57141
,,,,57143,{},,u Kituba (Democratic Republic of Congo) (GM),57143,57143
,,,,57145,{},,w Kituba (Democratic Republic of Congo) (GM),57145,57145
,,,,57140,{},,n Kituba (Democratic Republic of Congo) (GM),57140,57140
,,,,57142,{},,s Kituba (Democratic Republic of Congo) (GM),57142,57142
,,,,57144,{},,t Kituba (Democratic Republic of Congo) (GM),57144,57144
,,,,57130,{},,b Kituba (Democratic Republic of Congo) (GM),57130,57130
,,,,57139,{},,o Kituba (Democratic Republic of Congo) (GM),57139,57139
,,,,57131,{},,e Kituba (Democratic Republic of Congo) (GM),57131,57131
,,,,57138,{},,l Kituba (Democratic Republic of Congo) (GM),57138,57138
,,,,57129,{},,ɡ Kituba (Democratic Republic of Congo) (GM),57129,57129
,,,,57132,{},,d Kituba (Democratic Republic of Congo) (GM),57132,57132
,,,,57133,{},,f Kituba (Democratic Republic of Congo) (GM),57133,57133
,,,,57147,{},,z Kituba (Democratic Republic of Congo) (GM),57147,57147
,,,,57146,{},,v Kituba (Democratic Republic of Congo) (GM),57146,57146
,,,,57126,{},,˦ Kituba (Democratic Republic of Congo) (GM),57126,57126
,,,,57128,{},,˨ Kituba (Democratic Republic of Congo) (GM),57128,57128
