ㄱ	k
ㄴ	n
ㄷ	t
ㄹ	l
ㅁ	l
ㅂ	p
ㅅ	s
ㅇ 	∅
ㅇ 	ŋ
ㅈ	tʃ
ㅊ	tʃʰ
ㅋ	kʰ
ㅌ	tʰ
ㅍ	pʰ
ㅎ	h
ㄲ	kː
ㄸ	tː
ㅃ	pː
ㅆ	sː
ㅉ	t̠ʃː
ㄳ 	g s
ㄵ	n t̠ʃ
ㄶ	n h
ㄺ	l k
ㄻ	l m
ㄼ	l p
ㄽ	l s
ㄾ	l tʰ
ㄿ	l pʰ
ㅀ	l h
ㅄ	p s
ㅏ	a
ㅓ	ɤ
ㅗ	o
ㅜ	u
ㅡ	ɯ
ㅣ	i
ㅐ	æ
ㅔ	e
ㅑ	j a
ㅕ	j ɤ
ㅛ 	j o
ㅠ	j u
ㅒ	j æ
ㅖ	j e
ㅘ	w a
ㅙ	w æ
ㅝ	w ɤ
ㅞ	w e
ㅚ	ø
ㅟ	y
ㅢ	ɯ i
0	j ɤ ŋ
1	h a n a
2	t u l
3	s e t
4	n e t
5	t a s ɤ t 
6	j ɤ s ɤ t 
7	i l k o p
8	j ɤ t ɤ l 
9	a h o p
가	k a
각	k a k
간	k a n
강	k a ŋ
같	k a tʰ
개	k æ
거	k ɤ
건	k ɤ n
것	k ɤ t
게	k e
격	k j ɤ k
견	k j ɤ n
결	k j ɤ l
경	k j ɤ ŋ
계	k j e
고	k o
공	k o ŋ
과	k w a
관	k w a n
괴	k ø
교	k j o
구	k u
국	k u k
굴	k u l
권	k w ɤ n
규	k j u
그	k ɯ
근	k ɯ n
금	k ɯ m
급	k ɯ p
기	k i
까	kː a
나	n a
난	n a n
날	n a l
남	n a m
내	n æ
냐	n j a
넓	n ɤ l p
녀	n j ɤ
념	n j ɤ m
녕	n j ɤ ŋ
노	n o
놓	n o h
누	n u
느	n ɯ
는	n ɯ n
능	n ɯ ŋ
니	n i
다	t a
단	t a n
달	t a l
담	t a m
당	t a ŋ
대	t æ
더	t ɤ
덕	t ɤ k
던	t ɤ n
도	t o
독	t o k
돌	t o l
동	t o ŋ
되	t ø
된	t ø n
될	t ø l
든	t ɯ n
들	t ɯ l
등	t ɯ ŋ
디	t i
따	tː a 
때	tː æ
떠	tː ɤ
떤	tː ɤ n
또	tː o
라	l a
란	l a n
람	l a m
래	l æ
러	l ɤ
런	l ɤ n
려	l j ɤ
력	l j ɤ k
령	l j ɤ ŋ
로	l o
록	l o k
론	l o n
롭	l o p
료	l j o
룰	l j o l
류	l j u
률	l j u l
른	l ɯ n
를	l ɯ l
리	l i
린	l i n
릴	l i l
립	l i p
마	m a
막	m a k
만	m a n
망	m a ŋ
매	m æ
머	m ɤ
며	m j ɤ
면	m j ɤ n
멸	m j ɤ l
명	m j ɤ ŋ
모	m o
목	m o k
무	m u
문	m u n
물	m u l
므	m ɯ
민	m i n
밀	m i l
및	m i tʃʰ
박	p a k
반	p a n
받	p a t
발	p a l
방	p a ŋ
배	p æ
벌	p ɤ l
범	p ɤ m
법	p ɤ p
변	p j ɤ n
