Father, ancestor	Ata
Mother	Ene
Son	Uul
Man	Erkek
Girl	Kız
Person	Kishi
Bride	Kelin
Mother-in-law	Kaynene
Heart	Jürök
Blood	Kan
Head	Bash
Hair	Kıl
Eye	Köz
Eyelash	Kirpik
Ear	Kulak
Nose	Murun
Arm	Kol
Hand	Alakan
Finger	Barmak
Fingernail	Tyrmak
Knee	Tize
Calf	Baltyr
Foot	Ayak
Belly	Karyn
Horse	At
Cattle	Sıyır
Dog	It
Fish	Balık
Louse	Bit
House	Üy
Tent	
Way	Jol
Bridge	Köpürö
Arrow	Ok
Fire	Ot
Ash	Kül
Water	Suu
Ship, boat	Keme
Lake	Köl
Sun/Day	Kün
Cloud	Bulut
Star	Jıldız
Earth	Topurak
Hilltop	Töbö
Tree/Wood	Jygach
God (Tengri)	
Tengri	Tangri
Sky, Blue	Kök
Long	Uzun
New	Jañı
Fat	Semiz
Full	Tolo
White	Ak
Black	Kara
Red	Kızıl
1	Bir
2	Eki
4	Tört
7	Jeti
10	On
100	Jüz
