ກ	k
ຂ	kʰ
ຄ	kʰ
ງ	ŋ
ຈ	tɕ
ຈ	t
ສ	s
ສ	t
ຊ	s
ຊ	t
ຍ	ɲ
ດ	d
ຕ	t
ຖ	tʰ
ທ	tʰ
ນ	n
ບ	b
ປ	p
ຜ	pʰ
ຝ	f
ຝ	p
ພ	pʰ
ຟ	f
ຟ	p
ມ	m
ຢ	j
ຣ	r
ຣ	l
ຣ	n
ລ	l
ລ	n
ວ	ʋ
ວ	w
ຫ	h
ອ	ʔ
ຮ	h
ຫງ	ŋ
ຫຍ	ɲ
ໜ	n
ຫນ	n
ໝ	m
ຫມ	m
ຫຼ	r
ຫຼ	l
ຫຣ	r
ຫຣ	l
ຫຼ	l
ຫລ	l
ຫວ	ʋ
ຫວ	w
-ະ	a		
-ັ	a		
-າ	aː
-ິ	i		
-ີ	iː
-ຶ	ɯ		
-ື	ɯː
-ຸ	u		
-ູ	uː
ເ-ະ	e			
ເ-ັ	e			
ເ-	eː
ແ-ະ	ɛ			
ແ-ັ	ɛ			
ແ-	ɛː
ໂ-ະ	o			
-ົ	o			
ໂ-	oː
ເ-າະ	ɔ			
-ັອ-	ɔ			
-ໍ	ɔː	
-ອ-	ɔː	
ເ-ິ	ɤ			
ເ-ີ	ɤː	
ເ-ັຍ	iə			
-ັຽ-	iə			
ເ-ຍ	iːə	
-ຽ-	iːə	
ເ-ຶອ	ɯə			
ເ-ືອ	ɯːə	
-ົວະ	uə			
-ັວ-	uə			
-ົວ	uːə	
-ວ-	uːə	
ໄ-	aj		
ໃ-*	aj		
-ັຍ	aj		
-າຍ	aːj	
ເ-ົາ	aw			
-ຳ	am			


