IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
b	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
d	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
dz	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
e̞	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
f	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
mb	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-
mp	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+,-	+,-	-	-	+,-	-	-		-	-	-
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
nd	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	-	-	-	-
ndz	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-	+	-	-	-
nt	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	+,-	-	-	+,-	-	-	-	-	-	-
nts	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+,-	-	-	-	+,-	-	-	+	-	-	-
p	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ts	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
v	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-
z	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
ŋk	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+,-	+,-	-	-	+,-	-	-		-	-	-
ŋɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+,-	+	-	-	+,-	-	-		-	-	-
ɔ	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ɖr̠	t	Tip	-	-,+	-	+	-	-,+	+	+	-	-	-	-	-	-	-	-	+	-	-	-,+	-	-	-	-	-	-,+
ɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
ɳɖr̠	t	Tip	-	-,+	-	+	-	-,+	+	+	-	-	-	-	-	-	-	+,-,-	+	-	-	+,-,+	-	-	-	-	-	-,+
ɳʈr̠̥	t	Tip	-	-,+	-	+	-	-,+	+	+	-	-	-	-	-	-	-	+,-,-	-	-	-	+,-,+	+	-	-	-	-	-,+
ɾ	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	+	-
ʈr̥̠	t	Tip	-	-,+	-	+	-	-,+	+	+	-	-	-	-	-	-	-	-	-	-	-	-,+	+	-	-	-	-	-,+
ʊ	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
