confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,1302,{},,m Plateau Malagasy (SPA),1302,1302
,,,,1300,{},,k Plateau Malagasy (SPA),1300,1300
,,,,1298,{},,i Plateau Malagasy (SPA),1298,1298
,,,,1286,{},,a Plateau Malagasy (SPA),1286,1286
,,,,1278,{},,j Plateau Malagasy (SPA),1278,1278
,,,,1305,{},,p Plateau Malagasy (SPA),1305,1305
,,,,1309,{},,w Plateau Malagasy (SPA),1309,1309
,,,,1304,{},,n Plateau Malagasy (SPA),1304,1304
,,,,1306,{},,s Plateau Malagasy (SPA),1306,1306
,,,,1308,{},,t Plateau Malagasy (SPA),1308,1308
,,,,1295,{},,b Plateau Malagasy (SPA),1295,1295
,,,,1303,{},,l Plateau Malagasy (SPA),1303,1303
,,,,1299,{},,h Plateau Malagasy (SPA),1299,1299
,,,,1294,{},,ɡ Plateau Malagasy (SPA),1294,1294
,,,,1296,{},,d Plateau Malagasy (SPA),1296,1296
,,,,1301,{},,f Plateau Malagasy (SPA),1301,1301
,,,,1293,{},,ɔ Plateau Malagasy (SPA),1293,1293
,,,,1312,{},,z Plateau Malagasy (SPA),1312,1312
,,,,1313,{},,ɾ Plateau Malagasy (SPA),1313,1313
,,,,1310,{},,v Plateau Malagasy (SPA),1310,1310
,,,,1281,{},,ts Plateau Malagasy (SPA),1281,1281
,,,,1279,{},,ʊ Plateau Malagasy (SPA),1279,1279
,,,,1297,{},,mb Plateau Malagasy (SPA),1297,1297
,,,,1287,{},,ŋɡ Plateau Malagasy (SPA),1287,1287
,,,,1280,{},,nd Plateau Malagasy (SPA),1280,1280
,,,,1291,{},,e̞ Plateau Malagasy (SPA),1291,1291
,,,,1292,{},,dz Plateau Malagasy (SPA),1292,1292
,,,,1282,{},,ndz Plateau Malagasy (SPA),1282,1282
,,,,1288,{},,ŋk Plateau Malagasy (SPA),1288,1288
,,,,1284,{},,nt Plateau Malagasy (SPA),1284,1284
,,,,1285,{},,mp Plateau Malagasy (SPA),1285,1285
,,,,1290,{},,nts Plateau Malagasy (SPA),1290,1290
,,,,1283,{},,ʈr̥̠ Plateau Malagasy (SPA),1283,1283
,,,,1311,{},,ɳɖr̠ Plateau Malagasy (SPA),1311,1311
,,,,1289,{},,ɳʈr̠̥ Plateau Malagasy (SPA),1289,1289
,,,,1307,{},,ɖr̠ Plateau Malagasy (SPA),1307,1307
