IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
aː	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
dz	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
dzː	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
dː	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
d̠ʒː	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
e̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
e̞ː	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
fː	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	-	-		-	-	-	-	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
iː	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
jː	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	+	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
l	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
lː	l	Tip		+	+		-	+	-	+	+		-	-	-	-			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mː	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		-	-	+	-	-		-	-			-
