IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill	˦	˦˨	˧˦	˧˨˧
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-				
ai	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-				
ai˦	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+			
ai˦˨	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+		
ai˧˦	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+	
ai˧˨˧	ɑi	Vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+
au	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
au˦	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
au˦˨	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
au˧˦	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
au˧˨˧	əu	Vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
a˦	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-	+			
a˦˨	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-		+		
a˧˦	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-			+	
a˧˨˧	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-				+
ei	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-				
ei˦	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+			
ei˦˨	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+		
ei˧˦	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+	
ei˧˨˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-				
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-				
ia	iɑ	Vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+		-				
