m	m 
n	n 
b	p 
d	t 
g	k 
p	pʰ 
t	tʰ 
k	kʰ 
z	ts 
zh	ʈʂ 
j	tɕ 
c	tsʰ 
ch	ʈʂʰ 
q	tɕʰ 
f	f 
s	s 
sh	ʂ 
r	ɻ 
x	ɕ 
h	h 
l	l 
y	j 
w	w 
ī	ɨ˥ 
ē	ɤ˥ 
hē	x ɤ˥ 
ā	a˥ 
ēi	ei˥ 
āi	ai˥ 
ōu	ou˥ 
āo	au˥ 
ēn	ə˥ n
ān	a˥ n
ōng	ʊ˥ ŋ
ēng	ə˥ ŋ
āng	ɑ˥ ŋ
yī	i˥ 
yē	j e˥ 
yā	j a˥ 
iā	j a˥ 
yōu	j ou˥ 
iū	j ou˥ 
yāo	j au˥ 
iāo	j au˥ 
yīn	i˥ n
īn	i˥ n
yān	j ɛ˥ n
iān	j ɛ˥ n
yōng	j ʊ˥ ŋ
iōng	j ʊ˥ ŋ
yīng	i˥ ŋ
īng	i˥ ŋ
yāng	j a˥ ŋ
iāng	j a˥ ŋ
wū	u˥ 
ū	u˥ 
wō	w ɔ˥ 
uō	w o˥ 
wā	w a˥ 
uā	w a˥ 
wēi	w ei˥ 
uī	w ei˥ 
wāi	w ai˥ 
uāi	w ai˥ 
wēn	w ə˥ n
ūn	w ə˥ n
wān	w a˥ n
uān	w a˥ n
wēng	w ə˥ ŋ
wāng	w a˥ ŋ
uāng	w a˥ ŋ
yū	y˥ 
ǖ	y˥ 
yuē	ɥe˥ 
üē	ɥe˥ 
yūn	y˥ n
ǖn	y˥ n
yuān	ɥ ɛ˥ n
üān	ɥ ɛ˥ n
ēr	a ɚ˥ 
zī	ts ɨ˥ 
cī	tsʰ ɨ˥ 
sī	s ɨ˥ 
zhī	ʈʂ ɯ˥ 
chī	ʈʂʰ ɯ˥ 
shī	ʂ ɯ˥ 
rī	ʐ ɯ˥ 
n̄g	ŋ˥ 
n̄	n˥ 
i1	ɨ˥ 
e1	ɤ˥ 
he1	x ɤ˥ 
a1	a˥ 
ei1	ei˥ 
ai1	ai˥ 
ou1	ou˥ 
ao1	au˥ 
en1	ə˥ n
an1	a˥ n
ong1	ʊ˥ ŋ
eng1	ə˥ ŋ
ang1	ɑ˥ ŋ
yi1	i˥ 
ye1	j e˥ 
ya1	j a˥ 
ia1	j a˥ 
you1	j ou˥ 
iu1	j ou˥ 
yao1	j au˥ 
iao1	j au˥ 
yin1	i˥ n
in1	i˥ n
yan1	j ɛ˥ n
ian1	j ɛ˥ n
yong1	j ʊ˥ ŋ
iong1	j ʊ˥ ŋ
ying1	i˥ ŋ
ing1	i˥ ŋ
yang1	j a˥ ŋ
iang1	j a˥ ŋ
wu1	u˥ 
u1	u˥ 
wo1	w ɔ˥ 
uo1	w o˥ 
wa1	w a˥ 
ua1	w a˥ 
wei1	w ei˥ 
ui1	w ei˥ 
wai1	w ai˥ 
uai1	w ai˥ 
wen1	w ə˥ n
un1	w ə˥ n
wan1	w a˥ n
uan1	w a˥ n
weng1	w ə˥ ŋ
wang1	w a˥ ŋ
uang1	w a˥ ŋ
yu1	y˥ 
ü1	y˥ 
yue1	ɥe˥ 
üe1	ɥe˥ 
yun1	y˥ n
ün1	y˥ n
yuan1	ɥ ɛ˥ n
üan1	ɥ ɛ˥ n
er1	a ɚ˥ 
zi1	ts ɨ˥ 
ci1	tsʰ ɨ˥ 
si1	s ɨ˥ 
zhi1	ʈʂ ɯ˥ 
chi1	ʈʂʰ ɯ˥ 
