IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill	˦	˨	˦˨	˨˦	˨˦˨
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-					
aː	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-					
aː˦	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-	+				
aː˦˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-			+		
aː˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-		+			
aː˨˦	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-				+	
aː˨˦˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-					+
a˦	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+				
a˦˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-			+		
a˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+			
a˨˦	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-				+	
a˨˦˨	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-					+
b	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-					
d	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-					
d̠ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-					
e	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-					
eː	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-					
eː˦	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-	+				
eː˦˨	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-			+		
eː˨	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-		+			
eː˨˦	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-				+	
eː˨˦˨	e	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-					+
e˦	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-	+				
e˦˨	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-			+		
e˨	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-		+			
e˨˦	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-				+	
e˨˦˨	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-					+
