confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,38944,{},,m Mandinka (PH),38944,38944
,,,,38942,{},,k Mandinka (PH),38942,38942
,,,,38940,{},,i Mandinka (PH),38940,38940
,,,,38928,{},,a Mandinka (PH),38928,38928
,,,,38943,{},,j Mandinka (PH),38943,38943
,,,,38948,{},,p Mandinka (PH),38948,38948
,,,,38926,{},,u Mandinka (PH),38926,38926
,,,,38953,{},,w Mandinka (PH),38953,38953
,,,,38947,{},,n Mandinka (PH),38947,38947
,,,,38949,{},,s Mandinka (PH),38949,38949
,,,,38952,{},,t Mandinka (PH),38952,38952
,,,,38936,{},,b Mandinka (PH),38936,38936
,,,,38946,{},,o Mandinka (PH),38946,38946
,,,,38937,{},,e Mandinka (PH),38937,38937
,,,,38945,{},,l Mandinka (PH),38945,38945
,,,,38941,{},,h Mandinka (PH),38941,38941
,,,,38935,{},,ɡ Mandinka (PH),38935,38935
,,,,38929,{},,ŋ Mandinka (PH),38929,38929
,,,,38938,{},,d Mandinka (PH),38938,38938
,,,,38950,{},,ɲ Mandinka (PH),38950,38950
,,,,38939,{},,f Mandinka (PH),38939,38939
,,,,38951,{},,t̠ʃ Mandinka (PH),38951,38951
,,,,38924,{},,r Mandinka (PH),38924,38924
,,,,38925,{},,d̠ʒ Mandinka (PH),38925,38925
,,,,38922,{},,iː Mandinka (PH),38922,38922
,,,,38923,{},,aː Mandinka (PH),38923,38923
,,,,38931,{},,uː Mandinka (PH),38931,38931
,,,,38954,{},,˦ Mandinka (PH),38954,38954
,,,,38930,{},,˨ Mandinka (PH),38930,38930
,,,,38934,{},,oː Mandinka (PH),38934,38934
,,,,38927,{},,eː Mandinka (PH),38927,38927
,,,,38932,{},,˦˨ Mandinka (PH),38932,38932
,,,,38933,{},,˨˦ Mandinka (PH),38933,38933
,,,,38921,{},,˨˦˨ Mandinka (PH),38921,38921
