IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
b	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
b̤	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	+	-		-	-	-
cç	cç	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cçʰ	cç	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
dz	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
d̤z	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	+	-	+	-	-	-
d̪	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
d̪̤	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-
e	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
f	f	Lips		-	-	+	-	+	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
iː	i	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
kʰ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-
l̤	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	+	-	-	-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
m̤	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	+	-		-	-	-
n̪	n	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
n̪̤	n	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	+	+	-	-	+	+	-	-	-	-	-
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
p	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
pʰ	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	+	-		-	-	-
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
ts	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
tsʰ	ts	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-	-	-
t̪	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t̪ʰ	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
uː	u	Vowel		+		-	-	+	-		+	-		+	-	+	-	-	+	-	-	+	-	-		+	-	-
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-
w̤	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	+	-		-	-	-
æ	a	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ç	ç	Body	-	-	-	+	-	+	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɔ	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
ɖ	t	Tip	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
ɖ̤	t	Tip	-	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-
ə	ə̰	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
əː	ə̰	Vowel		+		-	-	+	-		+	-		-	-	+	-	-	+	-	-	+	-	-		+	-	-
ɟʝ	cç	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
ɟ̤ʝ	cç	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	-	+	-	-	-	+	-	-	-	-	-
ɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
