confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,7345,{},,m Halh Mongolian (SPA),7345,7345
,,,,7366,{},,i Halh Mongolian (SPA),7366,7366
,,,,7367,{},,j Halh Mongolian (SPA),7367,7367
,,,,7371,{},,n Halh Mongolian (SPA),7371,7371
,,,,7372,{},,s Halh Mongolian (SPA),7372,7372
,,,,7363,{},,b Halh Mongolian (SPA),7363,7363
,,,,7364,{},,e Halh Mongolian (SPA),7364,7364
,,,,7369,{},,l Halh Mongolian (SPA),7369,7369
,,,,7360,{},,ɡ Halh Mongolian (SPA),7360,7360
,,,,7365,{},,d Halh Mongolian (SPA),7365,7365
,,,,7358,{},,ɔ Halh Mongolian (SPA),7358,7358
,,,,7341,{},,ʃ Halh Mongolian (SPA),7341,7341
,,,,7373,{},,r Halh Mongolian (SPA),7373,7373
,,,,7352,{},,d̠ʒ Halh Mongolian (SPA),7352,7352
,,,,7354,{},,eː Halh Mongolian (SPA),7354,7354
,,,,7374,{},,x Halh Mongolian (SPA),7374,7374
,,,,7343,{},,kʰ Halh Mongolian (SPA),7343,7343
,,,,7362,{},,pʰ Halh Mongolian (SPA),7362,7362
,,,,7346,{},,ʊ Halh Mongolian (SPA),7346,7346
,,,,7351,{},,β Halh Mongolian (SPA),7351,7351
,,,,7370,{},,tʰ Halh Mongolian (SPA),7370,7370
,,,,7350,{},,ɔː Halh Mongolian (SPA),7350,7350
,,,,7357,{},,dz Halh Mongolian (SPA),7357,7357
,,,,7348,{},,t̠ʃʰ Halh Mongolian (SPA),7348,7348
,,,,7359,{},,ɸ Halh Mongolian (SPA),7359,7359
,,,,7355,{},,ɑ Halh Mongolian (SPA),7355,7355
,,,,7375,{},,tsʰ Halh Mongolian (SPA),7375,7375
,,,,7368,{},,ɪː Halh Mongolian (SPA),7368,7368
,,,,7344,{},,ʉ Halh Mongolian (SPA),7344,7344
,,,,7361,{},,ɑː Halh Mongolian (SPA),7361,7361
,,,,7349,{},,o̞ː Halh Mongolian (SPA),7349,7349
,,,,7356,{},,l̥ Halh Mongolian (SPA),7356,7356
,,,,7342,{},,ɵ̞ Halh Mongolian (SPA),7342,7342
,,,,7353,{},,ʉː Halh Mongolian (SPA),7353,7353
,,,,7347,{},,ɵ̞ː Halh Mongolian (SPA),7347,7347
