IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bʷː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		+	-	-	-	-		-	-			-
bː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	-	-		-	-			-
bˤ	p	Lips	-		-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-	+	-	-	-	-	-		-	-			-
bˤː	p	Lips	-		-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-	+	-	-	-	-	-		-	-			-
dˤ	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	-	-	-			-
dˤː	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-	+		-	-	-	-	-	-	-			-
d̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̪ː	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
fʷː	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	-	-		+	-	-	-	-		-	-			-
fː	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	+		-	-	-	-		-	-	-	-	-		-	-			-
h	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
hː	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	+		-	-	-	-			-	-	+	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
jː	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	+	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʷ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
kʷː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	+	-	-	-	-	-		+	-	-	-	-		-	-			-
kː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
lˤ	l	Tip	-	+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	+	-	+		-	+	-	-	-	-	-			-
lˤː	l	Tip	-	+	+		-	+	-	+	+		-	-	-	-			-		+	+		-	-	+	-	+		-	+	-	-	-	-	-			-
l̪	l	Tip		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
l̪ː	l	Tip		+	+		-	+	-	+	+		+	-	-	-			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mʷː	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		+	-	+	-	-		-	-			-
mː	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		-	-	+	-	-		-	-			-
mˤ	m	Lips	-		-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-	+	-	-	+	-	-		-	-			-
mˤː	m	Lips	-		-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-	+	-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
nː	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
q	k	Body			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
qʷ	k	Body			-	+	-	+	-	-	-	-		+	-	-	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
qː	k	Body			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
rː	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	+		-	-	+	-			-	+	-	-	-	-	-			+
rˤː	ɻ	Tip	-	+	+		-	+	-	+	+		-	-	-	-			-		-	+		-	-	+	-	+		-	+	-	-	-	-	-			+
sˤ	s	Tip	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-	+		-	-	-	-	+	-	-			-
sˤː	s	Tip	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	-	-	+		-	-	-	-	+	-	-			-
s̪	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
s̪ː	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
tˤ	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-	+		-	-	-	-	-	-	-			-
tˤː	t	Tip	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	-	-	+		-	-	-	-	-	-	-			-
t̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
t̪ː	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
wː	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	+	-	-	-	+	-		+	-	+	-	-		-	-	+		-
zˤ	s	Tip	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	+	-	-			-
zˤː	s	Tip	-	+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	+	-	+		-	-	-	-	+	-	-			-
z̪	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
z̪ː	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
æ	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
ħ	h	Guttural			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	+	-	-	-	-			-	-	-	-		-	-			-
ħʷ	h	Guttural			-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	+	-	-	-	-		+	-	-	-	-		-	-			-
ħː	h	Guttural			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	+	-	-	-	-			-	-	-	-		-	-			-
ə̆	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	-		-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɡʷ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
ɡː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-
ɾ	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
ɾˤ	ɻ	Tip	-	+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-	+		-	+	-	-	-	-	+			-
ʁ	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ʁʷ	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	-	-	-	+	-		+	-	-	-	-		-	-			-
ʁː	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-
ʃ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ʃː	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
ʒ	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ʒː	s	Tip		-	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-
ʔ	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
ʔː	ʔ	Guttural			-		-	+	+	-	-	-		-	-	-			-		-	+		-	-	-	-			-	-	-	-		-	-			-
ʕ	h	Guttural			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	+	-	-	+	-			-	-	-	-		-	-			-
ʕː	h	Guttural			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	+	-	-	+	-			-	-	-	-		-	-			-
χ	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
χʷ	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
χː	ç	Body			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
