confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,53873,{},,m North Ndebele (GM),53873,53873
,,,,53870,{},,i North Ndebele (GM),53870,53870
,,,,53819,{},,j North Ndebele (GM),53819,53819
,,,,53879,{},,u North Ndebele (GM),53879,53879
,,,,53881,{},,w North Ndebele (GM),53881,53881
,,,,53876,{},,n North Ndebele (GM),53876,53876
,,,,53877,{},,s North Ndebele (GM),53877,53877
,,,,53866,{},,b North Ndebele (GM),53866,53866
,,,,53826,{},,o North Ndebele (GM),53826,53826
,,,,53867,{},,e North Ndebele (GM),53867,53867
,,,,53823,{},,l North Ndebele (GM),53823,53823
,,,,53871,{},,h North Ndebele (GM),53871,53871
,,,,53864,{},,ɡ North Ndebele (GM),53864,53864
,,,,53857,{},,ŋ North Ndebele (GM),53857,53857
,,,,53868,{},,d North Ndebele (GM),53868,53868
,,,,53878,{},,ɲ North Ndebele (GM),53878,53878
,,,,53872,{},,f North Ndebele (GM),53872,53872
,,,,53883,{},,z North Ndebele (GM),53883,53883
,,,,53846,{},,d̠ʒ North Ndebele (GM),53846,53846
,,,,53882,{},,v North Ndebele (GM),53882,53882
,,,,53827,{},,˦ North Ndebele (GM),53827,53827
,,,,53860,{},,˨ North Ndebele (GM),53860,53860
,,,,53820,{},,kʰ North Ndebele (GM),53820,53820
,,,,53865,{},,pʰ North Ndebele (GM),53865,53865
,,,,53825,{},,ʒ North Ndebele (GM),53825,53825
,,,,53848,{},,ɣ North Ndebele (GM),53848,53848
,,,,53869,{},,mb North Ndebele (GM),53869,53869
,,,,53854,{},,ŋɡ North Ndebele (GM),53854,53854
,,,,53839,{},,nd North Ndebele (GM),53839,53839
,,,,53844,{},,β North Ndebele (GM),53844,53844
,,,,53875,{},,tʰ North Ndebele (GM),53875,53875
,,,,53851,{},,kʼ North Ndebele (GM),53851,53851
,,,,53847,{},,t̠ʃʰ North Ndebele (GM),53847,53847
,,,,53829,{},,t̠ʃʼ North Ndebele (GM),53829,53829
,,,,53859,{},,tʼ North Ndebele (GM),53859,53859
,,,,53837,{},,pʼ North Ndebele (GM),53837,53837
,,,,53841,{},,n̠d̠ʒ North Ndebele (GM),53841,53841
,,,,53861,{},,ɑ North Ndebele (GM),53861,53861
,,,,53874,{},,ɬ North Ndebele (GM),53874,53874
,,,,53840,{},,tsʼ North Ndebele (GM),53840,53840
,,,,53884,{},,tsʰ North Ndebele (GM),53884,53884
,,,,53863,{},,ɦ North Ndebele (GM),53863,53863
,,,,53838,{},,ɱv North Ndebele (GM),53838,53838
,,,,53843,{},,nz North Ndebele (GM),53843,53843
,,,,53828,{},,ɮ North Ndebele (GM),53828,53828
,,,,53856,{},,ŋk North Ndebele (GM),53856,53856
,,,,53850,{},,nt North Ndebele (GM),53850,53850
,,,,53880,{},,mp North Ndebele (GM),53880,53880
,,,,53849,{},,ns North Ndebele (GM),53849,53849
,,,,53852,{},,kǃ North Ndebele (GM),53852,53852
,,,,53855,{},,kǀ North Ndebele (GM),53855,53855
,,,,53858,{},,ɱf North Ndebele (GM),53858,53858
,,,,53853,{},,ŋǃ North Ndebele (GM),53853,53853
,,,,53822,{},,kǁ North Ndebele (GM),53822,53822
,,,,53821,{},,kǃʰ North Ndebele (GM),53821,53821
,,,,53842,{},,kǀʰ North Ndebele (GM),53842,53842
,,,,53832,{},,ɡǃ North Ndebele (GM),53832,53832
,,,,53831,{},,ɡǀ North Ndebele (GM),53831,53831
,,,,53833,{},,kǁʰ North Ndebele (GM),53833,53833
,,,,53862,{},,ŋǀ North Ndebele (GM),53862,53862
,,,,53818,{},,ŋǁ North Ndebele (GM),53818,53818
,,,,53817,{},,kx North Ndebele (GM),53817,53817
,,,,53830,{},,ɡǁ North Ndebele (GM),53830,53830
,,,,53824,{},,ntsʼ North Ndebele (GM),53824,53824
,,,,53845,{},,n̠t̠ʃʼ North Ndebele (GM),53845,53845
