अ	a
आ	aː
ा	aː
इ	i	
ि	i	
ई	iː	
ी	iː
उ	u	
ु	u	
ऊ	uː	
ू	uː
ऋ	r i
ृ	r i	
ॠ	r i	
ॄ	r i
ऌ	ʌ l
ॢ	ʌ l	
ॡ	ʌ l	
ॣ	ʌ l
ए	e	
े	e	
ऐ	eː	
ै	eː
ओ	o	
ो	o		
औ	oː	
ौ	oː
ं	m
ः	h
क	k
ख	kʰ
ग	ɡ
घ	ɡʱ
ङ	ŋ
च	cç
छ	cçʰ
ज	ɟʝ
झ	ɟ̤ʝ
ञ	ɲ
य	j
श	ç
ट	ʈ
ठ	ʈʰ
ड	ɖ
ढ	ɖ̤
ण	ɳ
र	r
ष	ʂ
त	t̪
थ	t̪ʰ
द	d̪
ध	d̪̤
न	n
ल	l
स	s
प	p
फ	pʰ
ब	b
भ	b̤
म	m
व	w
क	k a
ख	kʰ a
ग	ɡ a
घ	ɡʱ a
ङ	ŋ a
च	cç a
छ	cçʰ a
ज	ɟʝ a
झ	ɟ̤ʝ a
ञ	ɲ a
य	j a
श	ç a
ट	ʈ a
ठ	ʈʰ a
ड	ɖ a
ढ	ɖ̤ a
ण	ɳ a
र	r a
ष	ʂ a
त	t̪ a
थ	t̪ʰ a
द	d̪ a
ध	d̪̤ a
न	n a
ल	l a
स	s a
प	p a
फ	pʰ a
ब	b a
भ	b̤ a
म	m a
व	w a
ॐ	a o m
।	#
॥	#
