a	a˩
á	a˥
e	e˩
é	e˥
i	i˩
í	i˥
o	o˩
ó	o˥
u	u˩
ú	u˥
b	ɓ
p	p
ph	pʰ
mb	ᵐb
mph	mpʰ
m	m
ŵ	wᵝ
bw	ɓʷ
pw	pʷ
phw	pʰʷ
mbw	mbʷ
mphw	ᵐpʷʰ
mw	mʷ
w	w
bz	b zʲ
py	pʲ
ps	p sʲ
mbz	ᵐb zʲ
mps	mp sʲ
my	mʲ	
d	ɗ
t	t
th	tʰ
nd	ⁿd
nth	ntʰ
n	n
l	ɽ
r	ɽ
dw	ɗʷ
tw	tʷ
thw	tʷʰ
ndw	ndʷ
nthw	ⁿtʷʰ
lw	ɽʷ
rw	ɽʷ
dy	ɗʲ
tya	tʲ
thy	tʲʰ
ndy	ndʲ
nthy	ⁿtʲʰ		
g	g
k	k
kh	kʰ
ng	ᵑɡ
nkh	ŋkʰ
ng'	ŋ
h	h
gw	ɡʷ
kw	kʷ
khw	kʷʰ
ngw	ŋɡʷ
nkhw	ᵑkʷʰ
ng'w	ŋʷ	
j	dʒ
ch	tʃ
tch	tʃʰ
nj	ⁿdʒ
ntch	n̠t̠ʃʰ
ny	ɲ
y	j
v	v
f	f
mv	ɱv
mf	ɱ̤f
vw	vʷ
fw	fʷ				
vy	vʲ
fy	fʲ				
z	z
s	s
nz	ⁿz
ns	ns		
zw	zʷ
sw	sʷ
nzw	nzʷ
nsw	nsʷ		
zy	zʲ
zy	ʒ
sh	ʃ				
dz	dz
ts	ts
ndz	ndz			
dzw	dzʷ
tsw	tsʷ

