confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,56437,{},,m Eastern Oromo (GM),56437,56437
,,,,56434,{},,i Eastern Oromo (GM),56434,56434
,,,,56427,{},,a Eastern Oromo (GM),56427,56427
,,,,56394,{},,j Eastern Oromo (GM),56394,56394
,,,,56414,{},,u Eastern Oromo (GM),56414,56414
,,,,56446,{},,w Eastern Oromo (GM),56446,56446
,,,,56440,{},,n Eastern Oromo (GM),56440,56440
,,,,56443,{},,s Eastern Oromo (GM),56443,56443
,,,,56430,{},,b Eastern Oromo (GM),56430,56430
,,,,56439,{},,o Eastern Oromo (GM),56439,56439
,,,,56431,{},,e Eastern Oromo (GM),56431,56431
,,,,56438,{},,l Eastern Oromo (GM),56438,56438
,,,,56447,{},,h Eastern Oromo (GM),56447,56447
,,,,56419,{},,ɡ Eastern Oromo (GM),56419,56419
,,,,56432,{},,d Eastern Oromo (GM),56432,56432
,,,,56411,{},,ɲ Eastern Oromo (GM),56411,56411
,,,,56436,{},,f Eastern Oromo (GM),56436,56436
,,,,56413,{},,t̠ʃ Eastern Oromo (GM),56413,56413
,,,,56452,{},,ʔ Eastern Oromo (GM),56452,56452
,,,,56393,{},,ʃ Eastern Oromo (GM),56393,56393
,,,,56444,{},,r Eastern Oromo (GM),56444,56444
,,,,56449,{},,z Eastern Oromo (GM),56449,56449
,,,,56412,{},,d̠ʒ Eastern Oromo (GM),56412,56412
,,,,56409,{},,iː Eastern Oromo (GM),56409,56409
,,,,56410,{},,aː Eastern Oromo (GM),56410,56410
,,,,56422,{},,uː Eastern Oromo (GM),56422,56422
,,,,56433,{},,˦ Eastern Oromo (GM),56433,56433
,,,,56435,{},,˨ Eastern Oromo (GM),56435,56435
,,,,56445,{},,t̪ Eastern Oromo (GM),56445,56445
,,,,56426,{},,oː Eastern Oromo (GM),56426,56426
,,,,56417,{},,eː Eastern Oromo (GM),56417,56417
,,,,56448,{},,x Eastern Oromo (GM),56448,56448
,,,,56395,{},,d̪ Eastern Oromo (GM),56395,56395
,,,,56418,{},,kʼ Eastern Oromo (GM),56418,56418
,,,,56406,{},,t̠ʃʼ Eastern Oromo (GM),56406,56406
,,,,56429,{},,tʼ Eastern Oromo (GM),56429,56429
,,,,56400,{},,pʼ Eastern Oromo (GM),56400,56400
,,,,56424,{},,mː Eastern Oromo (GM),56424,56424
,,,,56403,{},,nː Eastern Oromo (GM),56403,56403
,,,,56423,{},,kː Eastern Oromo (GM),56423,56423
,,,,56401,{},,lː Eastern Oromo (GM),56401,56401
,,,,56441,{},,bː Eastern Oromo (GM),56441,56441
,,,,56421,{},,sː Eastern Oromo (GM),56421,56421
,,,,56450,{},,ɡː Eastern Oromo (GM),56450,56450
,,,,56398,{},,jː Eastern Oromo (GM),56398,56398
,,,,56404,{},,rː Eastern Oromo (GM),56404,56404
,,,,56451,{},,dː Eastern Oromo (GM),56451,56451
,,,,56396,{},,ɲː Eastern Oromo (GM),56396,56396
,,,,56428,{},,fː Eastern Oromo (GM),56428,56428
,,,,56405,{},,ʃː Eastern Oromo (GM),56405,56405
,,,,56442,{},,t̠ʃː Eastern Oromo (GM),56442,56442
,,,,56420,{},,d̠ʒː Eastern Oromo (GM),56420,56420
,,,,56416,{},,zː Eastern Oromo (GM),56416,56416
,,,,56408,{},,t̪ː Eastern Oromo (GM),56408,56408
,,,,56407,{},,kʼː Eastern Oromo (GM),56407,56407
,,,,56425,{},,t̠ʃʼː Eastern Oromo (GM),56425,56425
,,,,56399,{},,tʼː Eastern Oromo (GM),56399,56399
,,,,56397,{},,d̪ː Eastern Oromo (GM),56397,56397
,,,,56415,{},,xː Eastern Oromo (GM),56415,56415
,,,,56402,{},,pʼː Eastern Oromo (GM),56402,56402
