confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,33948,{},,m Ossetian (PH),33948,33948
,,,,33946,{},,k Ossetian (PH),33946,33946
,,,,33944,{},,i Ossetian (PH),33944,33944
,,,,33923,{},,j Ossetian (PH),33923,33923
,,,,33953,{},,p Ossetian (PH),33953,33953
,,,,33931,{},,u Ossetian (PH),33931,33931
,,,,33957,{},,w Ossetian (PH),33957,33957
,,,,33951,{},,n Ossetian (PH),33951,33951
,,,,33954,{},,s Ossetian (PH),33954,33954
,,,,33941,{},,b Ossetian (PH),33941,33941
,,,,33950,{},,o Ossetian (PH),33950,33950
,,,,33942,{},,e Ossetian (PH),33942,33942
,,,,33949,{},,l Ossetian (PH),33949,33949
,,,,33939,{},,ɡ Ossetian (PH),33939,33939
,,,,33943,{},,f Ossetian (PH),33943,33943
,,,,33932,{},,t̠ʃ Ossetian (PH),33932,33932
,,,,33938,{},,ɛ Ossetian (PH),33938,33938
,,,,33922,{},,ʃ Ossetian (PH),33922,33922
,,,,33955,{},,r Ossetian (PH),33955,33955
,,,,33959,{},,z Ossetian (PH),33959,33959
,,,,33930,{},,d̠ʒ Ossetian (PH),33930,33930
,,,,33958,{},,v Ossetian (PH),33958,33958
,,,,33956,{},,t̪ Ossetian (PH),33956,33956
,,,,33929,{},,ts Ossetian (PH),33929,33929
,,,,33937,{},,ə Ossetian (PH),33937,33937
,,,,33945,{},,ɨ Ossetian (PH),33945,33945
,,,,33924,{},,d̪ Ossetian (PH),33924,33924
,,,,33947,{},,ɪ Ossetian (PH),33947,33947
,,,,33925,{},,ʒ Ossetian (PH),33925,33925
,,,,33936,{},,dz Ossetian (PH),33936,33936
,,,,33952,{},,q Ossetian (PH),33952,33952
,,,,33933,{},,kʼ Ossetian (PH),33933,33933
,,,,33927,{},,t̠ʃʼ Ossetian (PH),33927,33927
,,,,33940,{},,tʼ Ossetian (PH),33940,33940
,,,,33926,{},,pʼ Ossetian (PH),33926,33926
,,,,33934,{},,χ Ossetian (PH),33934,33934
,,,,33935,{},,ɑ Ossetian (PH),33935,33935
,,,,33928,{},,tsʼ Ossetian (PH),33928,33928
,,,,33921,{},,ʁ Ossetian (PH),33921,33921
