IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill	˧	˩	˦˥
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-			
a˦˥	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-			+
a˧	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-	+		
a˩	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-		+	
ã	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-			
ã˦˥	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-		+	-			+
ã˧	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-		+	-	+		
ã˩	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-		+	-		+	
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-			
bː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	-	-		-	-			-			
d̠ʒ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-			
d̠ʒː	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	+	-	-			-			
d̻	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-			
d̻ː	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-			
e̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-			
e̞˦˥	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+
e̞˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+		
e̞˩	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+	
ẽ̞	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-			
ẽ̞˦˥	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+	+	-			+
ẽ̞˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+	+	-	+		
ẽ̞˩	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+	+	-		+	
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-			
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-			
i˦˥	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+
i˧	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+		
i˩	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+	
ĩ	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-			
ĩ˦˥	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+	+	-			+
ĩ˧	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+	+	-	+		
ĩ˩	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+	+	-		+	
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-			
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-			
kʰ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-			
kʰː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	+	-		-	-			-			
kː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-			
l̻	l	Tip		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-			
l̻ː	l	Tip		+	+		-	+	-	+	+		+	-	-	-			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-			
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-			
mː	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		-	-	+	-	-		-	-			-			
n̻	n	Tip		+	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-			
n̻ː	n	Tip		+	-		-	+	-	-	+		+	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-			
o̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-			
o̞˦˥	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+
o̞˧	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+		
o̞˩	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+	
õ̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-			
õ̞˦˥	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+	+	-			+
õ̞˧	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+	+	-	+		
õ̞˩	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+	+	-		+	
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-			
pʰ	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-			
pʰː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	-	-		-	-	-	+	-		-	-			-			
pː	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	-	-		-	-	-	-	-		-	-			-			
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+			
s̻	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-			
s̻ː	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-			
t̠ʃ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-			
t̠ʃʰ	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-			
t̠ʃʰː	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	+	-	+	-	-			-			
t̠ʃː	ts	Tip		-	-		-	+	-	-	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-			
t̻	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-			
t̻ʰ	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-			
t̻ʰː	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	-	-			-	-	+	-	-	-	-			-			
t̻ː	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-			
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-			
u˦˥	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+
u˧	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+		
u˩	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+	
ũ	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-			
ũ˦˥	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+	+	-			+
ũ˧	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+	+	-	+		
ũ˩	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+	+	-		+	
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-			
z̻	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-			
æ	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-			
æ˦˥	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-			+
æ˧	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-	+		
æ˩	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-		+	-		+	
æ̃	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-			
æ̃˦˥	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-		+	-			+
æ̃˧	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-		+	-	+		
æ̃˩	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-		+	-		+	
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-			
ɒ	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-			-			
ɒ˦˥	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-			+
ɒ˧	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-	+		
ɒ˩	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	-	+	-	-	+	-	+	-	-		+	-		+	-		+	
ɒ̃	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-		+	-			-			
ɒ̃˦˥	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-		+	-		+	-			+
ɒ̃˧	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-		+	-		+	-	+		
ɒ̃˩	ɒ	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	+	-	+	+	-	-	+	-	+	-	-		+	-		+	-		+	
ɖ	t	Tip		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-			
ɖː	t	Tip		-	-		-	+	-	-	+	-	-	-	-	-			-		-	+		-	-	+	-			-	-	-	-	-	-	-			-			
ə	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-			
ə˦˥	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-			+
ə˧	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-	+		
ə˩	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-		+	
ə̃	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-			
ə̃˦˥	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-	+	-			+
ə̃˧	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-	+	-	+		
ə̃˩	ə̰	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-	+	-		+	
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-			
ɡː	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	+	-	-	-	+	-			-	-	-	-		-	-			-			
ɦ	h	Guttural			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	+	-			-	-	+	-		-	-			-			
ɪ	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-			
ɪ˦˥	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-			+
ɪ˧	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-	+		
ɪ˩	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-	+	-		+	
ɪ̃	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-			
