IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	ɑ	Vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
c	k	Body		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
dʑ	ts	Tip		+	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
d̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̪z̪	ts	Tip		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
d̻z̻	ts	Tip		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
e	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
l̪	l	Tip		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n̪	n	Tip		+	-		-	+	-	-	+		+	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
o	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
s̪	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
s̻	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
tɕ	ts	Tip		+	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
t̪	t	Tip		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
t̪s̪	ts	Tip		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̻s̻	ts	Tip		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
w	w	Lips			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
x	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
z̪	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
z̻	s	Tip		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ŋ	ŋ	Body			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
ɕ	s	Tip		+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
ɟ	k	Body		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ɨ	ɨ	Vowel	-		+	-		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ɲ	ŋ	Body		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
ʑ	s	Tip		+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
