confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,72051,{},,m Cusco Quechua (SAPHON),72051,72051
,,,,72049,{},,k Cusco Quechua (SAPHON),72049,72049
,,,,72047,{},,i Cusco Quechua (SAPHON),72047,72047
,,,,72044,{},,a Cusco Quechua (SAPHON),72044,72044
,,,,72050,{},,j Cusco Quechua (SAPHON),72050,72050
,,,,72056,{},,p Cusco Quechua (SAPHON),72056,72056
,,,,72059,{},,u Cusco Quechua (SAPHON),72059,72059
,,,,72061,{},,w Cusco Quechua (SAPHON),72061,72061
,,,,72054,{},,n Cusco Quechua (SAPHON),72054,72054
,,,,72057,{},,s Cusco Quechua (SAPHON),72057,72057
,,,,72060,{},,t Cusco Quechua (SAPHON),72060,72060
,,,,72033,{},,o Cusco Quechua (SAPHON),72033,72033
,,,,72046,{},,e Cusco Quechua (SAPHON),72046,72046
,,,,72052,{},,l Cusco Quechua (SAPHON),72052,72052
,,,,72048,{},,h Cusco Quechua (SAPHON),72048,72048
,,,,72058,{},,ɲ Cusco Quechua (SAPHON),72058,72058
,,,,72043,{},,t̠ʃ Cusco Quechua (SAPHON),72043,72043
,,,,72032,{},,ʃ Cusco Quechua (SAPHON),72032,72032
,,,,72062,{},,ɾ Cusco Quechua (SAPHON),72062,72062
,,,,72039,{},,kʰ Cusco Quechua (SAPHON),72039,72039
,,,,72045,{},,pʰ Cusco Quechua (SAPHON),72045,72045
,,,,72035,{},,tʰ Cusco Quechua (SAPHON),72035,72035
,,,,72055,{},,q Cusco Quechua (SAPHON),72055,72055
,,,,72040,{},,kʼ Cusco Quechua (SAPHON),72040,72040
,,,,72042,{},,t̠ʃʰ Cusco Quechua (SAPHON),72042,72042
,,,,72041,{},,t̠ʃʼ Cusco Quechua (SAPHON),72041,72041
,,,,72036,{},,tʼ Cusco Quechua (SAPHON),72036,72036
,,,,72053,{},,pʼ Cusco Quechua (SAPHON),72053,72053
,,,,72034,{},,ʎ Cusco Quechua (SAPHON),72034,72034
,,,,72038,{},,qʼ Cusco Quechua (SAPHON),72038,72038
,,,,72037,{},,qʰ Cusco Quechua (SAPHON),72037,72037
