а	a
ба	b a
бо	b o
бэ 	b ɛ
бу 	b y
бы	b ɨ
бъ	b
бя 	bʲ  æ
бё 	bʲ  ɵ
бе 	bʲ  e
бю 	bʲ  ʉ
би	bʲ  i
бь	bʲ
ва	v a
во	v o
вэ 	v ɛ
ву 	v y
вы	v ɨ
въ	v
вя 	vʲ  æ
вё 	vʲ  ɵ
ве 	vʲ  e
вю 	vʲ  ʉ
ви	vʲ  i
вь	vʲ
г	ɡ
да	d a
до	d o
дэ 	d ɛ
ду 	d y
ды	d ɨ
дъ	d
дя 	dʲ  æ
дё 	dʲ  ɵ
де 	dʲ  e
дю 	dʲ  ʉ
ди	dʲ  i
дь	dʲ
е	j e
e	e
ё	j o
ж	ʐ
за	z a
зо	z o
зэ 	z ɛ
зу 	z y
зы	z ɨ
зъ	z
зя 	zʲ  æ
зё 	zʲ  ɵ
зе 	zʲ  e
зю 	zʲ  ʉ
зи	zʲ  i
зь	zʲ
и	i
й	j
ка	k a
ко	k o
кэ 	k ɛ
ку 	k y
кы	k ɨ
къ	k
кя 	kʲ  æ
кё 	kʲ  ɵ
ке 	kʲ  e
кю 	kʲ  ʉ
ки	kʲ  i
кь	kʲ
ла	l a
ло	l o
лэ 	l ɛ
лу 	l y
лы	l ɨ
лъ	l
ля 	lʲ  æ
лё 	lʲ  ɵ
ле 	lʲ  e
лю 	lʲ  ʉ
ли	lʲ  i
ль	lʲ
ма	m a
мо	m o
мэ 	m ɛ
му 	m y
мы	m ɨ
мъ	m
мя 	mʲ  æ
мё 	mʲ  ɵ
ме 	mʲ  e
мю 	mʲ  ʉ
ми	mʲ  i
мь	mʲ
на	n a
но	n o
нэ 	n ɛ
ну 	n y
ны	n ɨ
нъ	n
ня 	nʲ  æ
нё 	nʲ  ɵ
не 	nʲ  e
ню 	nʲ  ʉ
ни	nʲ i
нь	nʲ
о	o
па	p a
по	p o
пэ 	p ɛ
пу 	p y
пы	p ɨ
пъ	p
пя 	pʲ  æ
пё 	pʲ  ɵ
пе 	pʲ  e
пю 	pʲ  ʉ
пи	pʲ i
пь	pʲ
ра	r a
ро	r o
рэ 	r ɛ
ру 	r y
ры	r ɨ
ръ	r
ря 	rʲ  æ
рё 	rʲ  ɵ
ре 	rʲ  e
рю 	rʲ  ʉ
ри	rʲ i
рь	rʲ
са	s a
со	s o
сэ 	s ɛ
су 	s y
сы	s ɨ
съ	s
ся 	sʲ  æ
сё 	sʲ  ɵ
се 	sʲ  e
сю 	sʲ  ʉ
си	sʲ i
сь	sʲ
та	t a
то	t o
тэ 	t ɛ
ту 	t y
ты	t ɨ
тъ	t
тя 	tʲ  æ
тё 	tʲ  ɵ
те 	tʲ  e
тю 	tʲ  ʉ
ти	tʲ i
ть	tʲ
у	u
фа	f a
фо	f o
фэ 	f ɛ
фу 	f y
фы	f ɨ
фъ	f
фя 	fʲ  æ
фё 	fʲ  ɵ
фе 	fʲ  e
фю 	fʲ  ʉ
фи	fʲ i
фь	fʲ
х	x
ц	ts
ч	tɕ
ш	ʂ
щ	ɕɕ
ы	ɨ
э	ɛ
ю	j u
я	j a


