IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a̟	a	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
b	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bʲ	p	Lips			-	+	-	+	-	-	-	-		+	-	-	+	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
d	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̻ʲ	t	Tip		+	-	+	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
f	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
fʲ	f	Lips			-	+	-	+	-	+	-	+		+	-	-	+	+	+	+	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
i	i	Vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
j	j	Body			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʲ	k	Body			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
lʲ	l	Tip		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
lˠ	l	Tip		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		+	-	-	-	-	+	-			-	+	-	-	-	-	-			-
m	m	Lips			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
mʲ	m	Lips			-	+	-	+	-	-	-			+	-	-	+	+	+	-	-	-	-	-	+	+	-		-	-	+	-	-		-	-			-
n	n	Tip		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
n̻ʲ	n	Tip		+	-	+	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
o̞	o	Vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
p	p	Lips			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
pʲ	p	Lips			-	+	-	+	-	-	-	-		+	-	-	+	+	+	-	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
r	ɻ	Tip		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
rʲ	ɻ	Tip		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	-			+
s	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
sʲ	s	Tip		+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
t	t	Tip		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ts	ts	Tip		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
t̠ʃʲ	ts	Tip		-	-	+	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
t̻ʲ	t	Tip		+	-	+	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
u	u	Vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
v	f	Lips			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
vʲ	f	Lips			-	+	-	+	-	+	-	+		+	-	-	+	+	+	+	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
x	ç	Body			-	-	-	+	-	+	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
z	s	Tip		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
zʲ	s	Tip		+	-	+	-	+	-	+	+	+	-	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
ɛ	e	Vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɡ	k	Body			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
ʃˠ	s	Tip		-	-	+	-	+	-	+	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
ʒˠ	s	Tip		-	-	+	-	+	-	+	+	+	+	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
