Orthography,IPA,FID,Combined class:,Segment class:,advanced tongue root,anterior,approximant,back,click,consonantal,constricted glottis,continuant,coronal,delayed release,distributed,dorsal,epilaryngeal source,fortis,front,high,labial,labiodental,lateral,long,low,lowered larynx implosive,nasal,periodic glottal source,raised larynx ejective,retracted tongue root,round,short,sonorant,spread glottis,stress,strident,syllabic,tap,tense,tone,trill
"?,?,?",a?,EF29C6F75A75513554A1F65706301CE2,v-d,vowel,-,,+,-,,-,-,+,-,,,+,-,,+,-,-,,-,-,+,-,-,+,-,-,,-,+,-,-,,+,-,,,-
?,b,694212B746622E482E0E58D50036100E,c,consonant,,,-,,-,+,-,-,-,-,,-,-,-,,,+,-,-,-,,-,-,+,-,,-,-,-,-,-,,-,-,,,-
??,b?,97DED3C2CA0EB378AC531C0752A6906F,c-d,consonant,,,-,,-,+,-,-,-,-,,-,-,-,,,+,-,-,+,,-,-,+,-,,-,-,-,-,-,,-,-,,,-
?,d,E6253384902D489FDB1FE487B7ED4AB2,c,consonant,,+,-,,-,+,-,-,+,-,-,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,-,-,-,,,-
??,d?,AF55984F7DCE6CC6910C605F97C59E55,c-d,consonant,,+,-,,-,+,-,-,+,-,-,-,-,-,,,-,,-,+,,-,-,+,-,,,-,-,-,-,-,-,-,,,-
?,d?,1FCBA2F74274FF6CBC8636C9BAB66A2F,c-c,consonant,-,+,-,,-,+,-,-,+,-,-,-,-,-,,,-,,-,-,,-,-,+,-,+,,-,-,-,-,-,-,-,,,-
??,d??,627DB1FA7EE61BF18AAE10574068625A,c-c-d,consonant,-,+,-,,-,+,-,-,+,-,-,-,-,-,,,-,,-,+,,-,-,+,-,+,,-,-,-,-,-,-,-,,,-
?,d??,C7364BE7F76504D8DE329FFF30C42424,c-d-c,consonant,,-,-,,-,+,-,-,+,+,+,-,-,-,,,-,,-,-,,-,-,+,-,,,-,-,-,-,+,-,-,,,-
??,e?,6DD56E3A80E90C3B1F5AC7AC45CE8180,v-d,vowel,-,,+,-,,-,-,+,-,,,+,-,,+,-,-,,-,+,-,-,-,+,-,-,,-,+,-,-,,+,-,+,,-
?,f,86E80A7DA80F7F58CA76F85BACA48F86,c,consonant,,,-,,-,+,-,+,-,+,,-,-,-,,,+,+,-,-,,-,-,-,-,,-,-,-,-,-,,-,-,,,-
??,f?,1AEE2DB972C8FD9AFB48C4C1B451C729,c-d,consonant,,,-,,-,+,-,+,-,+,,-,-,-,,,+,+,-,+,,-,-,-,-,,-,-,-,-,-,,-,-,,,-
?,h,E7FBD92350B3CA8B7B5D77E36A607068,c,consonant,,,-,,-,-,-,+,-,+,,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,+,-,,-,-,,,-
??,h?,96F8300A3A6F5A403C59356C3B456BE4,c-d,consonant,,,-,,-,-,-,+,-,+,,-,-,-,,,-,,-,+,,-,-,-,-,,,-,-,+,-,,-,-,,,-
?,i?,D7A90868F42885077FD3F44A8440B3BB,v-d,vowel,-,,+,-,,-,-,+,-,,,+,-,,+,+,-,,-,+,-,-,-,+,-,-,,-,+,-,-,,+,-,+,,-
?,j,ADF56B8E4119266843033E723A149AE2,c,consonant,,,+,-,-,-,-,+,-,,,+,-,-,+,+,-,,-,-,-,-,-,+,-,,,-,+,-,-,,-,-,+,,-
??,j?,F3826EE83410EA00A7C1DF89AC317CAF,c-d,consonant,,,+,-,-,-,-,+,-,,,+,-,-,+,+,-,,-,+,-,-,-,+,-,,,-,+,-,-,,-,-,+,,-
?,k,5A838FF4DABE1950734CFAFAB9383903,c,consonant,,,-,-,-,+,-,-,-,-,,+,-,-,-,+,-,,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,,,-
??,k?,35B6E18B055F7621FA32D24600C7EDC6,c-d,consonant,,,-,-,-,+,-,-,-,-,,+,-,-,-,+,-,,-,+,-,-,-,-,-,,,-,-,-,-,,-,-,,,-
?,l,03413638BD1DFC7AEF53192FEF71F017,c,consonant,,+,+,,-,+,-,+,+,,-,-,-,-,,,-,,+,-,,-,-,+,-,,,-,+,-,-,-,-,-,,,-
??,l?,02CD835C8B5754AB3DB22940C8405C85,c-d,consonant,,+,+,,-,+,-,+,+,,-,-,-,-,,,-,,+,+,,-,-,+,-,,,-,+,-,-,-,-,-,,,-
?,m,5AE9663626770D1D4B97AAE5769AB83C,c,consonant,,,-,,-,+,-,-,-,,,-,-,-,,,+,-,-,-,,-,+,+,-,,-,-,+,-,-,,-,-,,,-
??,m?,30165CD7CBD456AD23965FFF9324A6E9,c-d,consonant,,,-,,-,+,-,-,-,,,-,-,-,,,+,-,-,+,,-,+,+,-,,-,-,+,-,-,,-,-,,,-
?,n,E03DA215BAB0A158BA5D1CB5C4D5D6FD,c,consonant,,+,-,,-,+,-,-,+,,-,-,-,-,,,-,,-,-,,-,+,+,-,,,-,+,-,-,-,-,-,,,-
??,n?,0A6EAA5C52B5FA8BF685047F7CE47780,c-d,consonant,,+,-,,-,+,-,-,+,,-,-,-,-,,,-,,-,+,,-,+,+,-,,,-,+,-,-,-,-,-,,,-
??,o?,08F6CE9332919F91E699096D433AC8BB,v-d,vowel,-,,+,+,,-,-,+,-,,,+,-,,-,-,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,,+,-,+,,-
?,p,2D6FB64B3CDC3549EF11DB98A66A9EAD,c,consonant,,,-,,-,+,-,-,-,-,,-,-,-,,,+,-,-,-,,-,-,-,-,,-,-,-,-,-,,-,-,,,-
?,q,4AC7382217172B3821AE54CD38BD8698,c,consonant,,,-,+,-,+,-,-,-,-,,+,-,-,-,-,-,,-,-,-,-,-,-,-,,,-,-,-,-,,-,-,,,-
??,q?,8E0A811394AB18A49D7448F524FB77E0,c-d,consonant,,,-,+,-,+,-,-,-,-,,+,-,-,-,-,-,,-,+,-,-,-,-,-,,,-,-,-,-,,-,-,,,-
??,r?,0FD087805B29DDC87A7BC2D136B0A201,c-d,consonant,,+,+,,-,+,-,+,+,,-,-,-,-,,,-,,-,+,,-,-,+,-,,,-,+,-,-,-,-,-,,,+
?,s,7FF174469DAC4E61520F4E1610B2F088,c,consonant,,+,-,,-,+,-,+,+,+,-,-,-,-,,,-,,-,-,,-,-,-,-,,,-,-,-,-,+,-,-,,,-
??,s?,89F9825488A15324615819E7A614926B,c-d,consonant,,+,-,,-,+,-,+,+,+,-,-,-,-,,,-,,-,+,,-,-,-,-,,,-,-,-,-,+,-,-,,,-
?,s?,35C386C6B0CA2D6E38CD56396F233034,c-c,consonant,-,+,-,,-,+,-,+,+,+,-,-,-,-,,,-,,-,-,,-,-,-,-,+,,-,-,-,-,+,-,-,,,-
??,s??,4157F7923F47DFE3C4EEDAE3DBD28F37,c-c-d,consonant,-,+,-,,-,+,-,+,+,+,-,-,-,-,,,-,,-,+,,-,-,-,-,+,,-,-,-,-,+,-,-,,,-
