IPA	IPA_Core	Place	anterior	approximant	click	consonantal	constricted glottis	continuant	coronal	distributed	dorsal	epilaryngeal source	fortis	labial	lateral	long	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	short	sonorant	spread glottis	stress	strident	syllabic	tap	trill
a	ɑ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
b	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	+	-	-	-	-	-		-	-	-
d	t	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-
d̠ʒ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-
h	h	Guttural		-	-	-	-	+	-		-	-	-	-	-	-	-	-	-	-	-	-	+	-		-	-	-
i	i	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
j	j	Body		+	-	-	-	+	-		+	-	-	-	-	-	-	-	+	-	-	+	-	-		-	-	-
k	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
l	l	Tip	+	+	-	+	-	+	+	-	-	-	-	-	+	-	-	-	+	-	-	+	-	-	-	-	-	-
m	m	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	+	+	-	-	+	-	-		-	-	-
n	n	Tip	+	-	-	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
o	o	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
p	p	Lips		-	-	+	-	-	-		-	-	-	+	-	-	-	-	-	-	-	-	-	-		-	-	-
s	s	Tip	+	-	-	+	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t̠ʃ	ts	Tip	-	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-
t̪	t	Tip	+	-	-	+	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
u	u	Vowel		+		-	-	+	-		+	-		+	-	-	-	-	+	-	-	+	-	-		+	-	-
w	w	Lips		+	-	-	-	+	-		+	-	-	+	-	-	-	-	+	-	-	+	-	-		-	-	-
ŋ	ŋ	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	+	+	-	-	+	-	-		-	-	-
ə	ə̰	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɛ	e	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɡ	k	Body		-	-	+	-	-	-		+	-	-	-	-	-	-	-	+	-	-	-	-	-		-	-	-
ɨ	ɨ	Vowel		+		-	-	+	-		+	-		-	-	-	-	-	+	-	-	+	-	-		+	-	-
ɲ	ŋ	Body	-	-	-	+	-	-	+	+	+	-	-	-	-	-	-	+	+	-	-	+	-	-	-	-	-	-
ɾ	ɻ	Tip	+	+	-	+	-	+	+	-	-	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-	+	-
ʔ	ʔ	Guttural		-	-	+	+	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-
