confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,1423,{},,m Sundanese (SPA),1423,1423
,,,,1421,{},,k Sundanese (SPA),1421,1421
,,,,1419,{},,i Sundanese (SPA),1419,1419
,,,,1412,{},,a Sundanese (SPA),1412,1412
,,,,1422,{},,j Sundanese (SPA),1422,1422
,,,,1427,{},,p Sundanese (SPA),1427,1427
,,,,1409,{},,u Sundanese (SPA),1409,1409
,,,,1431,{},,w Sundanese (SPA),1431,1431
,,,,1426,{},,n Sundanese (SPA),1426,1426
,,,,1428,{},,s Sundanese (SPA),1428,1428
,,,,1417,{},,b Sundanese (SPA),1417,1417
,,,,1425,{},,o Sundanese (SPA),1425,1425
,,,,1424,{},,l Sundanese (SPA),1424,1424
,,,,1420,{},,h Sundanese (SPA),1420,1420
,,,,1416,{},,ɡ Sundanese (SPA),1416,1416
,,,,1413,{},,ŋ Sundanese (SPA),1413,1413
,,,,1418,{},,d Sundanese (SPA),1418,1418
,,,,1429,{},,ɲ Sundanese (SPA),1429,1429
,,,,1411,{},,t̠ʃ Sundanese (SPA),1411,1411
,,,,1408,{},,ʔ Sundanese (SPA),1408,1408
,,,,1415,{},,ɛ Sundanese (SPA),1415,1415
,,,,1433,{},,ɾ Sundanese (SPA),1433,1433
,,,,1410,{},,d̠ʒ Sundanese (SPA),1410,1410
,,,,1430,{},,t̪ Sundanese (SPA),1430,1430
,,,,1414,{},,ə Sundanese (SPA),1414,1414
,,,,1432,{},,ɨ Sundanese (SPA),1432,1432
