அ 	ʌ
ஆ ɑː
இ i
ஈ iː
உ u
ஊ uː
எ e
ஏ eː
ஐ ʌi
ஒ o
ஓ oː
ஔ ʌʋ
க் k
க k ʌ
கா k ɑː
கி k i
கீ k iː
கு k u
கூ k uː
கெ k e
கே k eː
கை k ʌi
கொ k o
கோ k oː
கௌ k ʌʋ
ங் ŋ
ங ŋ ʌ
ஙா ŋ ɑː
ஙி ŋ i
ஙீ ŋ iː
ஙு ŋ u
ஙூ ŋ uː
ஙெ ŋ e
ஙே ŋ eː
ஙை ŋ ʌi
ஙொ ŋ o
ஙோ ŋ oː
ஙௌ ŋ ʌʋ
ச் tʃ
ச tʃ ʌ
சா tʃ ɑː
சி tʃ i
சீ tʃ iː
சு tʃ u
சூ tʃ uː
செ tʃ e
சே tʃ eː
சை tʃ ʌi
சொ tʃ o
சோ tʃ oː
சௌ tʃ ʌʋ
ஞ் ɲ
ஞ ɲ ʌ
ஞா ɲ ɑː
ஞி ɲ i
ஞீ ɲ iː
ஞு ɲ u
ஞூ ɲ uː
ஞெ ɲ e
ஞே ɲ eː
ஞை ɲ ʌi
ஞொ ɲ o
ஞோ ɲ oː
ஞௌ ɲ ʌʋ
ட் ʈ
ட ʈ ʌ
டா ʈ ɑː
டி ʈ i
டீ ʈ iː
டு ʈ u
டூ ʈ uː
டெ ʈ e
டே ʈ eː
டை ʈ ʌi
டொ ʈ o
டோ ʈ oː
டௌ ʈ ʌʋ
ண் ɳ
ண ɳ ʌ
ணா ɳ ɑː
ணி ɳ i
ணீ ɳ iː
ணு ɳ u
ணூ ɳ uː
ணெ ɳ e
ணே ɳ eː
ணை ɳ ʌi
ணொ ɳ o
ணோ ɳ oː
ணௌ ɳ ʌʋ
த் 	t̪
த 	t̪  ʌ
தா 	t̪  ɑː
தி 	t̪  i
தீ 	t̪  iː
து 	t̪  u
தூ 	t̪  uː
தெ 	t̪  e
தே 	t̪  eː
தை 	t̪  ʌi
தொ 	t̪  o
தோ 	t̪  oː
தௌ 	t̪  ʌʋ
ந் 	n̪
ந 	n̪  ʌ
நா 	n̪  ɑː
நி 	n̪  i
நீ 	n̪  iː
நு 	n̪  u
நூ 	n̪  uː
நெ 	n̪  e
நே 	n̪  eː
நை 	n̪  ʌi
நொ 	n̪  o
நோ 	n̪  oː
நௌ 	n̪  ʌʋ
ப் p
ப p ʌ
பா p ɑː
பி p i
பீ p iː
பு p u
பூ p uː
பெ p e
பே p eː
பை p ʌi
பொ p o
போ p oː
பௌ p ʌʋ
ம் m
ம m ʌ
மா m ɑː
மி m i
மீ m iː
மு m u
மூ m uː
மெ m e
மே m eː
மை m ʌi
மொ m o
மோ m oː
மௌ m ʌʋ
ய் j
ய j ʌ
யா j ɑː
யி j i
யீ j iː
யு j u
யூ j uː
யெ j e
யே j eː
யை j ʌi
யொ j o
யோ j oː
யௌ j ʌʋ
ர் ɾ
ர ɾ ʌ
ரா ɾ ɑː
ரி ɾ i
ரீ ɾ iː
ரு ɾ u
ரூ ɾ uː
ரெ ɾ e
ரே ɾ eː
ரை ɾ ʌi
ரொ ɾ o
ரோ ɾ oː
ரௌ ɾ ʌʋ
ல் l
ல l ʌ
லா l ɑː
லி l i
லீ l iː
லு l u
லூ l uː
லெ l e
லே l eː
லை l ʌi
லொ l o
லோ l oː
லௌ l ʌʋ
வ் ʋ
வ ʋ ʌ
வா ʋ ɑː
வி ʋ i
வீ ʋ iː
வு ʋ u
வூ ʋ uː
வெ ʋ e
வே ʋ eː
வை ʋ ʌi
வொ ʋ o
வோ ʋ oː
வௌ ʋ ʌʋ
ழ் ɻ
ழ ɻ ʌ
ழா ɻ ɑː
ழி ɻ i
ழீ ɻ iː
ழு ɻ u
ழூ ɻ uː
ழெ ɻ e
ழே ɻ eː
ழை ɻ ʌi
ழொ ɻ o
ழோ ɻ oː
ழௌ ɻ ʌʋ
ள் l
ள l ʌ
ளா l ɑː
ளி l i
ளீ l iː
ளு l u
ளூ l uː
ளெ l e
ளே l eː
ளை l ʌi
ளொ l o
ளோ l oː
ளௌ l ʌʋ
ற் r
ற r ʌ
றா r ɑː
றி r i
றீ r iː
று r u
றூ r uː
றெ r e
றே r eː
றை r ʌi
றொ r o
றோ r oː
றௌ r ʌʋ
ன் n
ன n ʌ
னா n ɑː
னி n i
னீ n iː
னு n u
னூ n uː
னெ n e
னே n eː
னை n ʌi
னொ n o
னோ n oː
னௌ n ʌʋ
ஶ் ɕ
ஶ ɕ ʌ
ஶா ɕ ɑː
ஶி ɕ i
ஶீ ɕ iː
ஶு ɕ u
ஶூ ɕ uː
ஶெ ɕ e
ஶே ɕ eː
ஶை ɕ ʌi
ஶொ ɕ o
ஶோ ɕ oː
ஶௌ ɕ ʌʋ
ஜ் dʒ
ஜ dʒ ʌ
ஜா dʒ ɑː
ஜி dʒ i
ஜீ dʒ iː
ஜு dʒ u
ஜூ dʒ uː
