అ	a	
ఆ 	aː
ా 	aː
ఇ 	i
ీ 	i
ఈ 	iː
ీ	iː
ఉ 	u
ు	u
ఊ 	uː
ూ	uː
ఋ 	r u
ృ	r u
ౠ 	r uː
ౄ	r uː
ఌ 	l̥
ౢ	l̥
ౡ 	l̥̄
ౣ	l̥̄
ఎ 	e
ె	e
ఏ	eː
ే	eː
ఐ	aj
ై	aj
ఒ	o
ొ	o
ఓ	oː
ో	oː
ఔ	aw
ౌ	aw
ం	ṃ
అం	ṃ
కం	k ṃ
ః	h
అః	ḥ
కః	k ḥ
ఁ	n
ః	h
క	k	
ఖ	kʰ	
గ	ɡ	
ఘ	ɡʱ	
ఙ	ŋ
చ	tʃ	
ఛ	tʃʰ	
జ	dʒ	
ఝ	dʒʱ	
ఞ	ɲ
ట	ʈ	
ఠ	ʈʰ	
డ	ɖ	
ఢ	ɖʱ	
ణ	ɳ
త	t	
థ	tʰ	
ద	d	
ధ	dʱ	
న	n
ప	p	
ఫ	pʰ	
బ	b	
భ	bʱ	
మ	m
య	j	
ర	r	
ల	l	
వ	ʋ	
ళ	ɭ
శ	ʃ	
ష	ʂ	
స	s	
హ	h	
ఱ	ɽ
క	k a
ఖ	kʰ a
గ	ɡ a
ఘ	ɡʱ a
ఙ	ŋ a
చ	tʃ a
ఛ	tʃʰ a
జ	dʒ a
ఝ	dʒʱ a
ఞ	ɲ a
ట	ʈ a
ఠ	ʈʰ a
డ	ɖ a
ఢ	ɖʱ a	
ణ	ɳ a
త	t a
థ	tʰ a
ద	d a
ధ	dʱ a
న	n a
ప	p a
ఫ	pʰ a
బ	b a
భ	bʱ a
మ	m a
య	j a
ర	r a
ల	l a
వ	ʋ a
ళ	ɭ a
శ	ʃ a
ష	ʂ a
స	s a
హ	h a
ఱ	ɽ a
క్	k
ఖ్	kʰ	
గ్	ɡ	
ఘ్	ɡʱ	
ఙ్	ŋ
చ్	tʃ	
ఛ్	tʃʰ	
జ్	dʒ	
ఝ్	dʒʱ	
ఞ్	ɲ
ట్	ʈ	
ఠ్	ʈʰ	
డ్	ɖ	
ఢ్	ɖʱ	
ణ్	ɳ
త్	t	
థ్	tʰ	
ద్	d	
ధ్	dʱ	
న్	n
ప్	p	
ఫ్	pʰ	
బ్	b	
భ్	bʱ	
మ్	m
య్	j	
ర్	r	
ల్	l	
వ్	ʋ	
ళ్	ɭ
శ్	ʃ	
ష్	ʂ	
స్	s	
హ్	h	
ఱ్	ɽ
౦	0
౧	1
౨	2
౩	3
౪	4
౫	5
౬	6
౭	7
౮	8
౯	9
౸	0/4
౹	1/4	
౺	2/4	
౻	3/4	
౦	0/16	
౼	1/16	
౽	2/16	
౾	3/16

