confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,410,{},,m Telugu (SPA),410,410
,,,,408,{},,k Telugu (SPA),408,408
,,,,407,{},,i Telugu (SPA),407,407
,,,,377,{},,j Telugu (SPA),377,377
,,,,414,{},,p Telugu (SPA),414,414
,,,,367,{},,u Telugu (SPA),367,367
,,,,413,{},,n Telugu (SPA),413,413
,,,,415,{},,s Telugu (SPA),415,415
,,,,418,{},,t Telugu (SPA),418,418
,,,,403,{},,b Telugu (SPA),403,403
,,,,412,{},,o Telugu (SPA),412,412
,,,,404,{},,e Telugu (SPA),404,404
,,,,411,{},,l Telugu (SPA),411,411
,,,,400,{},,ɡ Telugu (SPA),400,400
,,,,405,{},,d Telugu (SPA),405,405
,,,,406,{},,f Telugu (SPA),406,406
,,,,380,{},,t̠ʃ Telugu (SPA),380,380
,,,,398,{},,ɛ Telugu (SPA),398,398
,,,,361,{},,ʃ Telugu (SPA),361,361
,,,,419,{},,ɾ Telugu (SPA),419,419
,,,,373,{},,iː Telugu (SPA),373,373
,,,,371,{},,aː Telugu (SPA),371,371
,,,,389,{},,uː Telugu (SPA),389,389
,,,,375,{},,ts Telugu (SPA),375,375
,,,,396,{},,ə Telugu (SPA),396,396
,,,,399,{},,oː Telugu (SPA),399,399
,,,,388,{},,eː Telugu (SPA),388,388
,,,,379,{},,kʰ Telugu (SPA),379,379
,,,,402,{},,pʰ Telugu (SPA),402,402
,,,,369,{},,ɪ Telugu (SPA),369,369
,,,,360,{},,ʊ Telugu (SPA),360,360
,,,,376,{},,ɔː Telugu (SPA),376,376
,,,,364,{},,ɛː Telugu (SPA),364,364
,,,,363,{},,o̞ Telugu (SPA),363,363
,,,,393,{},,dz Telugu (SPA),393,393
,,,,358,{},,ʈ Telugu (SPA),358,358
,,,,395,{},,ɖ Telugu (SPA),395,395
,,,,401,{},,ɑ Telugu (SPA),401,401
,,,,356,{},,ʂ Telugu (SPA),356,356
,,,,397,{},,ɳ Telugu (SPA),397,397
,,,,381,{},,ɭ Telugu (SPA),381,381
,,,,409,{},,ɦ Telugu (SPA),409,409
,,,,394,{},,mː Telugu (SPA),394,394
,,,,385,{},,ʊː Telugu (SPA),385,385
,,,,366,{},,nː Telugu (SPA),366,366
,,,,374,{},,ʈʰ Telugu (SPA),374,374
,,,,372,{},,ɪː Telugu (SPA),372,372
,,,,392,{},,kː Telugu (SPA),392,392
,,,,365,{},,lː Telugu (SPA),365,365
,,,,354,{},,b̤ Telugu (SPA),354,354
,,,,417,{},,bː Telugu (SPA),417,417
,,,,362,{},,tː Telugu (SPA),362,362
,,,,355,{},,pː Telugu (SPA),355,355
,,,,378,{},,ɡː Telugu (SPA),378,378
,,,,383,{},,æː Telugu (SPA),383,383
,,,,370,{},,ɖ̤ Telugu (SPA),370,370
,,,,357,{},,rː Telugu (SPA),357,357
,,,,420,{},,dː Telugu (SPA),420,420
,,,,382,{},,β̞ Telugu (SPA),382,382
,,,,384,{},,ɡ̤ Telugu (SPA),384,384
,,,,359,{},,d̤ Telugu (SPA),359,359
,,,,386,{},,ʈː Telugu (SPA),386,386
,,,,416,{},,ɒː Telugu (SPA),416,416
,,,,390,{},,ɖː Telugu (SPA),390,390
,,,,368,{},,tsː Telugu (SPA),368,368
,,,,391,{},,dzː Telugu (SPA),391,391
,,,,387,{},,β̞ː Telugu (SPA),387,387
,,,,421,{},,ɭː Telugu (SPA),421,421
