confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,36893,{},,m Tibetan (PH),36893,36893
,,,,36917,{},,k Tibetan (PH),36917,36917
,,,,36897,{},,i Tibetan (PH),36897,36897
,,,,36910,{},,a Tibetan (PH),36910,36910
,,,,36918,{},,j Tibetan (PH),36918,36918
,,,,36921,{},,p Tibetan (PH),36921,36921
,,,,36902,{},,u Tibetan (PH),36902,36902
,,,,36924,{},,w Tibetan (PH),36924,36924
,,,,36920,{},,o Tibetan (PH),36920,36920
,,,,36913,{},,e Tibetan (PH),36913,36913
,,,,36916,{},,h Tibetan (PH),36916,36916
,,,,36904,{},,ŋ Tibetan (PH),36904,36904
,,,,36895,{},,ʔ Tibetan (PH),36895,36895
,,,,36908,{},,ɛ Tibetan (PH),36908,36908
,,,,36914,{},,˦ Tibetan (PH),36914,36914
,,,,36925,{},,˨ Tibetan (PH),36925,36925
,,,,36922,{},,t̪ Tibetan (PH),36922,36922
,,,,36900,{},,kʰ Tibetan (PH),36900,36900
,,,,36905,{},,n̪ Tibetan (PH),36905,36905
,,,,36911,{},,pʰ Tibetan (PH),36911,36911
,,,,36919,{},,l̪ Tibetan (PH),36919,36919
,,,,36899,{},,s̪ Tibetan (PH),36899,36899
,,,,36901,{},,ʈ Tibetan (PH),36901,36901
,,,,36906,{},,t̪ʰ Tibetan (PH),36906,36906
,,,,36926,{},,y Tibetan (PH),36926,36926
,,,,36898,{},,ʈʰ Tibetan (PH),36898,36898
,,,,36909,{},,t̪s̪ Tibetan (PH),36909,36909
,,,,36929,{},,r̪ Tibetan (PH),36929,36929
,,,,36927,{},,ø Tibetan (PH),36927,36927
,,,,36892,{},,˥˩ Tibetan (PH),36892,36892
,,,,36923,{},,t̪s̪ʰ Tibetan (PH),36923,36923
,,,,36907,{},,ɕ Tibetan (PH),36907,36907
,,,,36912,{},,l̥ Tibetan (PH),36912,36912
,,,,36894,{},,tɕ Tibetan (PH),36894,36894
,,,,36915,{},,tɕʰ Tibetan (PH),36915,36915
,,,,36896,{},,˧˦˧ Tibetan (PH),36896,36896
,,,,36928,{},,˨ː Tibetan (PH),36928,36928
,,,,36903,{},,˦ː Tibetan (PH),36903,36903
