IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
a	72FB536ACFF408163656BBCDAFCAC6F6	v	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	-	-		+	-			-
b	694212B746622E482E0E58D50036100E	c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
b̤	584E53EB5DC897FE333F996BB3854365	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	+	-		-	-			-
cç	8AD5C612764E127E084477DD1C52B817	c-c	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
cçʰ	77FB1967C8D16A666F18E8A4E9CB2CFD	c-c-c	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
d̪	198E3EBE25854A256D6C67EF286FA260	c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
d̪̤	8102B48ED662ED3BEC1E6C024596DF4F	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-	+	-	-	-	-			-
ẽ̞	9D43C0121B4098359DE849B298AD20F0	v-d-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
f	86E80A7DA80F7F58CA76F85BACA48F86	c	consonant			-		-	+	-	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
h	E7FBD92350B3CA8B7B5D77E36A607068	c	consonant			-		-	-	-	+	-	+		-	-	-			-		-	-		-	-	-	-			-	-	+	-		-	-			-
i	F0585BB57111C322D6E7DABB0D01F9EA	v	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ĩ	A9F45477DAC8AB8BB14C84275ED3690F	v-c	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
ĩː	70B73BACB06AB6CCEBE6E6710EBB7BE6	v-c-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	+		-
j	ADF56B8E4119266843033E723A149AE2	c	consonant			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-			-	+	-	-		-	-	+		-
k	5A838FF4DABE1950734CFAFAB9383903	c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
kʰ	BD29F40254AA0996800A773122397C28	c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
m	5AE9663626770D1D4B97AAE5769AB83C	c	consonant			-		-	+	-	-	-			-	-	-			+	-	-	-		-	+	+	-		-	-	+	-	-		-	-			-
n	E03DA215BAB0A158BA5D1CB5C4D5D6FD	c	consonant		+	-		-	+	-	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
oː	08F6CE9332919F91E699096D433AC8BB	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
õ	DF648A2DB863191981CA66654BFF6BF4	v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
p	2D6FB64B3CDC3549EF11DB98A66A9EAD	c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	-	-		-	-			-
pʰ	6E065D8A2F199BCBC7CA7074EC4DE834	c-c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		-	-	-	+	-		-	-			-
q	4AC7382217172B3821AE54CD38BD8698	c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
r	5D1D7FB69E1A3C0C60001FBC0C19ED87	c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
t̪	2DA484FF3408444AF11E01960C9C893A	c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
t̪ʰ	9EEEF6860B6442352B674A227C68B124	c-d-c	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-	-	-			-
u	58EB693AE523323410326D60806B9ADF	v	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ũː	BAC1076952BFA8DB102EB8888621C1B6	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
w	501394D0E2658752D9DA624E7DEBE14B	c	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
