Father, ancestor	Ota
Mother	Ona
Son	Oʻgʻil
Man	Erkak
Girl	Qiz
Person	Kishi
Bride	Kelin
Mother-in-law	Qaynona
Heart	Yurak
Blood	Qon
Head	Bosh
Hair	Qil
Eye	Koʻz
Eyelash	Kiprik
Ear	Quloq
Nose	Burun
Arm	Qoʻl
Hand	
Finger	Barmoq
Fingernail	Tirnoq
Knee	Tizza
Calf	Boldir
Foot	Oyoq
Belly	Qorin
Horse	Ot
Cattle	Sigir
Dog	It
Fish	Baliq
Louse	Bit
House	Uy
Tent	Oʻtoq
Way	Yoʻl
Bridge	Koʻprik
Arrow	Oʻq
Fire	Oʻt
Ash	Kul
Water	Suv
Ship, boat	Kema
Lake	Koʻl
Sun/Day	Kun
Cloud	Bulut
Star	Yulduz
Earth	Tuproq
Hilltop	Tepa
Tree/Wood	Yogʻoch
God (Tengri)	
Tengri	Tengri
Sky, Blue	Koʻk
Long	Uzun
New	Yangi
Fat	Semiz
Full	Toʻla
White	Oq
Black	Qora
Red	Qizil
1	Bir
2	Ikki
4	Toʻrt
7	Yetti
10	Oʻn
100	Yuz
