lekk-oon-ngeen		y'all ate
dóór-óón-ngéén	y'all hit
door-u-ma-leen-fa	I did not begin them there
nëb	rotten
nëbb	to hide
dag	valet
dagg	to cut
dëj	funerals
dëjj	cunt
gal	white gold
gall	regurgitate
gëm	to believe
gëmm	to close one's eyes
fen	to lie
fenn	somewhere
fenn	nowhere
woñ	essorer
woññ	to count
goŋ	dog-headed ape
goŋŋ	a kind of bed
bët	eye
bëtt	to find
jaw	heaven
boy	to catch fire
boyy	to be resplendent
fecc	to dance
sedd	cold
bakkan	nose
dëpp	to reverse
dem	to go
maa ngi		me, here and now
dinaa	I will soon
maa ngi dem	I am going now
dinaa dem	I will go soon
damay	I usually
dem naa	I have already gone
damay dem	I usually go
demoon naa Ndakaaru	I already went to Dakar
bu góor		male
bu jigéen	female
xarit	friend
rakk	younger sibling
butik-bi		the boutique
xarit-bi		the friend
jumma-ji	the mosque
jigéen-ji		the girl
nit-ki		the person
nit-ñi		the people
jigéen-yi	the girls
butik-yi		the boutiques
0	
tus	zero
neen	zero
zéro	zero
sero	zero
dara	nothing
benn	one
ñaar	two
yaar	two
ñett	three
ñatt	three
yet	three
yatt	three
ñeent	four
ñenent	four
juróom	five
juróom-benn	six
juróom-ñaar	seven
juróom-ñett	eight
juróom-ñeent	nine
fukk	ten
fukk ak benn	eleven
fukk ak ñaar	twelve
fukk ak ñett	thirteen
fukk ak ñeent	fourteen
fukk ak juróom	fifteen
fukk ak juróom-benn	sixteen
fukk ak juróom-ñaar	seventeen
fukk ak juróom-ñett	eighteen
fukk ak juróom-ñeent	nineteen
ñaar-fukk	twenty
ñaar-fukk ak juróom-benn	twenty-six
ñett-fukk	thirty
fanweer	thirty
ñeent-fukk	forty
juróom-fukk	fifty	
juróom-benn-fukk	sixty
juróom-benn-fukk ak juróom-benn	sixty-six
juróom-ñaar-fukk	seventy
juróom-ñett-fukk	eighty
juróom-ñeent-fukk	ninety
téeméer	hundred
téeméer ak benn	hundred and one
téeméer ak juróom-benn	hundred and six
téeméer ak fukk	hundred and ten
ñaari téeméer	two hundred
ñetti téeméer	three hundred
ñeenti téeméer	four hundred
juróomi téeméer	five hundred
juróom-benni téeméer	six hundred
juróom-ñaari téeméer	seven hundred
juróom-ñetti téeméer	eight hundred
juróom-ñeenti téeméer	nine hundred
junni	thousand
junne	thousand
junni ak téeméer	thousand one hundred
junni ak juróom-benni téeméer	thousand six hundred
junni ak juróom-ñeenti téeméer ak ñeent-fukk ak juróom	nineteen forty five
junni ak juróom-ñeenti téeméer ak juróom-benn-fukk ak juróom-ñeent	nineteen sixty nine
ñaari junni	two thousand
ñetti junni	three thousand
ñeenti junni	four thousand
juróomi junni	five thousand	
juróom-benni junni	six thousand
juróom-ñaari junni	seven thousand
juróom-ñetti junni	eight thousand
juróom-ñeenti junni	nine thousand
fukki junni	ten thousand
téeméeri junni	hundred thousand
tamndareet	million
million	million
ñaaréélu	second
bu njëk	first
përëmye	first
ñettéélu	third
ñeentéélu	fourth	
juróoméélu	fifth
juróom-bennéélu	sixth
juróom-ñaaréélu	seventh
juróom-ñettéélu	eighth
juróom-ñeentéélu	ninth
fukkéélu	tenth
