confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,765,{},,m Wu Chinese (SPA),765,765
,,,,763,{},,k Wu Chinese (SPA),763,763
,,,,761,{},,i Wu Chinese (SPA),761,761
,,,,757,{},,a Wu Chinese (SPA),757,757
,,,,740,{},,j Wu Chinese (SPA),740,740
,,,,769,{},,p Wu Chinese (SPA),769,769
,,,,771,{},,u Wu Chinese (SPA),771,771
,,,,773,{},,w Wu Chinese (SPA),773,773
,,,,768,{},,n Wu Chinese (SPA),768,768
,,,,770,{},,s Wu Chinese (SPA),770,770
,,,,772,{},,t Wu Chinese (SPA),772,772
,,,,766,{},,l Wu Chinese (SPA),766,766
,,,,762,{},,h Wu Chinese (SPA),762,762
,,,,754,{},,ŋ Wu Chinese (SPA),754,754
,,,,760,{},,f Wu Chinese (SPA),760,760
,,,,744,{},,ʔ Wu Chinese (SPA),744,744
,,,,778,{},,z Wu Chinese (SPA),778,778
,,,,774,{},,v Wu Chinese (SPA),774,774
,,,,745,{},,˦ Wu Chinese (SPA),745,745
,,,,749,{},,ts Wu Chinese (SPA),749,749
,,,,741,{},,ĩ Wu Chinese (SPA),741,741
,,,,751,{},,kʰ Wu Chinese (SPA),751,751
,,,,758,{},,pʰ Wu Chinese (SPA),758,758
,,,,767,{},,tʰ Wu Chinese (SPA),767,767
,,,,743,{},,o̞ Wu Chinese (SPA),743,743
,,,,779,{},,tsʰ Wu Chinese (SPA),779,779
,,,,775,{},,y Wu Chinese (SPA),775,775
,,,,764,{},,ɦ Wu Chinese (SPA),764,764
,,,,776,{},,õ̞ Wu Chinese (SPA),776,776
,,,,759,{},,˥ Wu Chinese (SPA),759,759
,,,,777,{},,ɻ Wu Chinese (SPA),777,777
,,,,739,{},,æ̃ Wu Chinese (SPA),739,739
,,,,748,{},,m̩ Wu Chinese (SPA),748,748
,,,,742,{},,ŋ̩ Wu Chinese (SPA),742,742
,,,,756,{},,z̞̩ Wu Chinese (SPA),756,756
,,,,752,{},,ɡ̤̥ Wu Chinese (SPA),752,752
,,,,750,{},,˥˧˥ Wu Chinese (SPA),750,750
,,,,747,{},,tz̤̥ Wu Chinese (SPA),747,747
,,,,746,{},,b̤̥ Wu Chinese (SPA),746,746
,,,,753,{},,d̤̥ Wu Chinese (SPA),753,753
,,,,755,{},,ə̟ Wu Chinese (SPA),755,755
